"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2021-04-26",433.480011,437.899994,431.420013,432.369995,402300,429.52478
"2021-04-27",432.149994,447.940002,430.070007,445.859985,792200,442.925964
"2021-04-28",447.140015,447.839996,439.040009,442.339996,332200,439.429169
"2021-04-29",442.929993,448.380005,441.309998,445.850006,297600,442.916077
"2021-04-30",445.910004,447.579987,443.380005,446.440002,514500,443.502167
"2021-05-03",447.079987,449.540009,441.850006,445.070007,344600,442.141205
"2021-05-04",445,450,442.209991,448.380005,452300,445.429413
"2021-05-05",449.459991,450.480011,442.140015,450.149994,449100,447.187744
"2021-05-06",448.660004,452.23999,441.899994,446.200012,459700,443.263733
"2021-05-07",446.200012,449.48999,444.130005,444.459991,327100,441.535217
"2021-05-10",445.929993,450.5,443.980011,444.399994,402200,441.475647
"2021-05-11",442.459991,444.630005,434.910004,440.399994,296800,437.501953
"2021-05-12",439.730011,439.730011,427.220001,429.380005,501400,426.554474
"2021-05-13",430.25,439.059998,428.690002,437.440002,464600,434.561432
"2021-05-14",439.730011,442.619995,437.399994,438.350006,353000,435.465454
"2021-05-17",438.100006,439.75,432.73999,433.040009,444800,430.190369
"2021-05-18",431.98999,434.880005,429.290009,432.809998,560600,429.961914
"2021-05-19",430.75,432.200012,425.140015,431.279999,458900,428.441956
"2021-05-20",430.279999,438.929993,430.279999,437.5,683400,434.621033
"2021-05-21",439.980011,443.690002,438.98999,439.820007,712800,436.925781
"2021-05-24",442.679993,446.940002,441.019989,444.440002,393800,441.515381
"2021-05-25",445.429993,448.540009,443.720001,445.869995,333000,442.935944
"2021-05-26",446.480011,447.940002,441.440002,444.429993,227700,441.505371
"2021-05-27",446.769989,449.170013,445.209991,447.48999,443700,444.545288
"2021-05-28",449.029999,452.029999,446.369995,450.01001,339900,447.048706
"2021-06-01",454.299988,454.859985,445.959991,448.420013,363300,445.469177
"2021-06-02",449.609985,451.559998,446.929993,449.26001,310000,446.30365
"2021-06-03",447.23999,449.589996,444.459991,447.100006,353800,444.157837
"2021-06-04",450,452.880005,448.160004,451.049988,232400,448.081818
"2021-06-07",450.920013,451.279999,445.970001,446.779999,317700,443.839966
"2021-06-08",447.619995,451.190002,444.559998,449.690002,347700,446.730743
"2021-06-09",451.910004,452.720001,448.839996,450.950012,293000,447.982483
"2021-06-10",452.220001,453.950012,451.399994,453.670013,233800,450.684631
"2021-06-11",455,460.390015,454.059998,459.23999,387000,456.217987
"2021-06-14",459.869995,466.619995,458.149994,464.279999,582100,461.224823
"2021-06-15",464.5,464.540009,457.48999,462.75,469100,459.704865
"2021-06-16",463.869995,465.940002,453.230011,453.839996,468000,450.853485
"2021-06-17",454.309998,455.839996,448.76001,454.899994,506400,451.906555
"2021-06-18",450.519989,456.179993,449.230011,449.410004,657600,446.452637
"2021-06-21",452.149994,459.220001,450.179993,458.299988,328600,455.284119
"2021-06-22",458.049988,461.970001,457.100006,459.98999,325600,456.963043
"2021-06-23",458.76001,461.670013,457.130005,457.440002,278200,454.42981
"2021-06-24",459.859985,462.429993,456.579987,461.600006,363200,458.562439
"2021-06-25",462.390015,466.660004,461.570007,466.070007,701700,463.003021
"2021-06-28",463.660004,468.119995,462.429993,468.040009,475000,464.960052
"2021-06-29",468.920013,471.359985,467.119995,467.630005,450900,464.552734
