"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2021-06-28",62.740002,63.009998,62.139999,62.650002,4491900,60.523346
"2021-06-29",61.849998,62.849998,61.630001,62.580002,5556300,60.455727
"2021-06-30",62.84,63.779999,62.650002,63.380001,5639800,61.228573
"2021-07-01",64,64.07,62.759998,62.860001,5577300,60.726223
"2021-07-02",63.759998,64.110001,63.02,63.360001,5303000,61.209244
"2021-07-06",64.379997,64.419998,63.200001,63.889999,5400400,61.721256
"2021-07-07",64.040001,64.309998,63.25,63.630001,3987100,61.470081
"2021-07-08",63.880001,64.290001,62.240002,62.759998,5535000,60.629612
"2021-07-09",63.16,64.220001,63.119999,63.98,4701100,61.808197
"2021-07-12",63.57,64.120003,62.990002,63.189999,4318300,61.045017
"2021-07-13",63.27,64.400002,63.18,63.369999,5091600,61.21891
"2021-07-14",64.080002,64.709999,63.290001,63.360001,4808600,61.209244
"2021-07-15",63.439999,63.810001,63.09,63.490002,4386400,61.334835
"2021-07-16",63.220001,63.220001,61.369999,61.73,6278500,59.634579
"2021-07-19",61.040001,61.43,59.919998,60.689999,8059500,58.629883
"2021-07-20",61,61.880001,60.009998,60.439999,5804300,58.388367
"2021-07-21",59.82,60.68,59.599998,60.360001,5866800,58.311081
"2021-07-22",60.599998,60.639999,59.16,60.209999,4654500,58.166168
"2021-07-23",59.5,60.209999,59.029999,60.110001,7544100,58.069565
"2021-07-26",60.110001,61.310001,59.860001,60.389999,4609300,58.340061
"2021-07-27",60.369999,61.419998,59.860001,61.32,4155200,59.238495
"2021-07-28",61.18,61.970001,61.009998,61.880001,4390000,59.779488
"2021-07-29",62.93,63.450001,62.509998,62.720001,5209400,60.590973
"2021-07-30",62.43,63.330002,62.360001,62.82,5480800,60.687576
"2021-08-02",62.560001,62.720001,61.91,61.98,3723600,59.876087
"2021-08-03",62.130001,63.080002,62.02,62.650002,3866300,60.523346
"2021-08-04",63.119999,63.459999,61.830002,61.860001,4036600,59.760162
"2021-08-05",61.889999,62.080002,61.119999,61.25,3376000,59.170868
"2021-08-06",60.07,60.439999,59.16,59.82,8796000,57.78941
"2021-08-09",59.16,59.720001,58.82,58.84,5862100,56.842678
"2021-08-10",58.84,59.060001,57.959999,58.049999,7730700,56.079494
"2021-08-11",58.75,59.900002,58.73,59.259998,6053400,57.248417
"2021-08-12",59.130001,59.130001,58,58.349998,4130700,56.369308
"2021-08-13",58.990002,59.169998,58.470001,58.84,4673000,56.842678
"2021-08-16",58.84,59.27,58.549999,58.880001,3974200,56.881317
"2021-08-17",58.599998,59.209999,58.369999,58.860001,4816300,56.862
"2021-08-18",58.669998,58.830002,56.869999,56.91,8108900,54.978191
"2021-08-19",56.860001,57.099998,56.360001,56.52,5592900,54.601433
"2021-08-20",56.389999,56.950001,56.150002,56.349998,4164900,54.437195
"2021-08-23",57.16,58.169998,56.75,57.779999,5288800,55.818661
"2021-08-24",58.139999,58.18,57.43,57.48,3143800,55.528843
"2021-08-25",57.07,57.799999,56.509998,56.91,3942800,54.978191
"2021-08-26",56.52,57.169998,56.48,56.630001,3152800,54.707695
"2021-08-27",56.669998,58.25,56.330002,58.189999,5029900,56.214741
"2021-08-30",58.43,58.57,57.27,57.509998,4860200,55.557823
"2021-08-31",57.810001,58.040001,57.48,57.990002,5854500,56.021534
"2021-09-01",58.130001,58.349998,57.630001,57.880001,5506300,55.915264
"2021-09-02",58.02,58.73,57.91,58.709999,5015900,56.717091
"2021-09-03",59.630001,60.130001,59.07,59.669998,8075800,57.644505
"2021-09-07",59.119999,59.369999,58.049999,58.279999,6074700,56.301685
"2021-09-08",57.75,58.099998,57.299999,57.560001,4713200,56.135895
"2021-09-09",57.700001,57.82,56.950001,57.310001,3900100,55.892078
"2021-09-10",57.200001,57.560001,56.919998,56.990002,4307300,55.579994
"2021-09-13",57.029999,57.68,56.830002,57.040001,4647300,55.628761
"2021-09-14",57.200001,57.619999,56.75,57.200001,4647500,55.784798
"2021-09-15",56.919998,57.889999,56.919998,57.709999,4004900,56.282177
"2021-09-16",56.709999,56.98,54.869999,55.43,8479000,54.058594
"2021-09-17",54.950001,55.310001,54.540001,55.220001,10437600,53.85379
"2021-09-20",54.82,54.919998,53.52,54.009998,10411800,52.673725
"2021-09-21",54.490002,55.439999,54.209999,54.509998,5627600,53.16135
"2021-09-22",54.970001,55.639999,54.599998,54.650002,6199900,53.29789
"2021-09-23",54.459999,54.880001,53.939999,54.049999,5964000,52.712734
"2021-09-24",53.889999,54.48,53.639999,53.869999,4720900,52.537186
"2021-09-27",53.869999,54.939999,53.720001,53.900002,4915000,52.566448
"2021-09-28",53.5,54.790001,53.259998,54.580002,7613100,53.229622
"2021-09-29",54.52,54.630001,53.509998,53.709999,5614100,52.381145
"2021-09-30",54.200001,55.099998,54.099998,54.299999,6813600,52.956551
"2021-10-01",54.650002,54.650002,53.360001,53.560001,6136500,52.234859
"2021-10-04",53.669998,55.009998,53.669998,54.669998,6177400,53.317394
"2021-10-05",54.040001,54.470001,53.18,53.830002,6800600,52.49818
"2021-10-06",53.52,54.549999,53.029999,54.529999,5997600,53.180859
"2021-10-07",54.459999,55.189999,54.209999,54.610001,5270400,53.258881
"2021-10-08",55.66,55.75,54.259998,54.310001,5088200,52.966305
"2021-10-11",54.650002,55.169998,54.009998,54.200001,4161400,52.859024
"2021-10-12",54.360001,55.360001,54.029999,54.779999,5321400,53.424675
"2021-10-13",55.040001,56.73,54.91,56.369999,10130400,54.975338
"2021-10-14",57,57.939999,56.689999,57.77,8182200,56.340698
"2021-10-15",56.57,57.279999,56,57.029999,6259700,55.619003
"2021-10-18",56.799999,56.919998,56.169998,56.380001,4913600,54.985088
"2021-10-19",57.360001,57.48,56.5,56.990002,4442000,55.579994
"2021-10-20",57.5,57.700001,56.82,57.16,3972800,55.745789
"2021-10-21",57.029999,57.220001,56.650002,57.18,4254200,55.765293
"2021-10-22",57.900002,59.259998,57.5,57.610001,7953300,56.184658
"2021-10-25",58.380001,58.599998,57.740002,57.91,5964500,56.47723
"2021-10-26",57.52,58.07,57.25,57.700001,4850500,56.27243
"2021-10-27",57.490002,57.869999,57.049999,57.540001,5313300,56.11639
"2021-10-28",56.25,56.509998,54.509998,54.919998,9301900,53.561207
"2021-10-29",54.169998,55.380001,53.990002,54,9877400,52.663971
"2021-11-01",53.779999,54.779999,53.540001,54.299999,6154600,52.956551
"2021-11-02",54,54.759998,53.549999,54.709999,6585500,53.356407
"2021-11-03",53.880001,55.450001,53.639999,55.119999,6931500,53.75626
"2021-11-04",55.639999,56.130001,54.509998,54.849998,6898400,53.492939
"2021-11-05",55.119999,56.419998,55.009998,56.360001,5625200,54.965584
"2021-11-08",56.830002,56.959999,55.900002,56.189999,5107200,54.799789
"2021-11-09",56.209999,56.77,55.68,56.75,4572200,55.345932
"2021-11-10",58.07,58.849998,57.900002,58.169998,8901000,56.730797
"2021-11-11",59.099998,59.380001,58.32,58.849998,6392800,57.393974
"2021-11-12",58.419998,59.279999,58.080002,58.73,4499800,57.276943
"2021-11-15",58.799999,59.209999,58.5,58.970001,4258500,57.511009
"2021-11-16",59.080002,59.470001,58.060001,58.139999,4263400,56.701542
"2021-11-17",58.279999,58.91,57.759998,57.950001,4732800,56.516243
"2021-11-18",57.790001,58.049999,56.869999,57.169998,4057700,55.755539
"2021-11-19",56.560001,57.43,56.349998,56.549999,5009400,55.150879
"2021-11-22",55.560001,56.509998,54.970001,55.810001,5195400,54.429188
"2021-11-23",55.060001,55.630001,54.610001,55.490002,6857000,54.117111
"2021-11-24",55.48,55.880001,55.150002,55.470001,3601200,54.097607
"2021-11-26",55.599998,56.099998,55.18,55.939999,4336300,54.555973
"2021-11-29",55.669998,55.939999,54.580002,55.400002,6121000,54.029335
"2021-11-30",55.279999,56.52,54.540001,54.919998,9530600,53.561207
"2021-12-01",55.259998,55.91,53.860001,53.869999,7114700,52.537186
"2021-12-02",53.189999,53.619999,52.599998,53.27,8483000,51.952034
"2021-12-03",53.349998,54.970001,52.880001,54.669998,8981500,53.317394
"2021-12-06",54.799999,56.48,54.790001,55.830002,7238800,54.448696
"2021-12-07",55.860001,56.77,55.720001,56.389999,5868100,54.994839
"2021-12-08",55.619999,56.48,55.299999,56.360001,5540100,55.506973
"2021-12-09",55.869999,56.25,55.310001,56.209999,4822300,55.359241
"2021-12-10",56.580002,56.580002,55.23,56.099998,5572900,55.250904
"2021-12-13",56.5,57.68,56.169998,57.169998,9275800,56.30471
"2021-12-14",56.619999,57.150002,56.150002,56.169998,6865300,55.319847
"2021-12-15",56.099998,56.110001,53.16,54.23,12441800,53.40921
"2021-12-16",54.779999,59.169998,54.779999,59,13742700,58.107014
"2021-12-17",59.18,60.57,58.939999,59.240002,22136800,58.343384
"2021-12-20",58.700001,58.98,58.09,58.709999,5313900,57.821404
"2021-12-21",58.970001,59.099998,57.740002,58.18,4977200,57.299423
"2021-12-22",58.110001,58.650002,57.16,58.5,6175200,57.614578
"2021-12-23",58.110001,59.720001,58.110001,59.529999,6113500,58.628994
"2021-12-27",59.279999,60.32,59.09,60.18,6444700,59.269154
"2021-12-28",60.139999,60.98,59.950001,60.290001,4712700,59.377491
"2021-12-29",59.75,61.18,59.650002,60.619999,4448200,59.702492
"2021-12-30",60.779999,61.66,60.759998,61.59,4295700,60.657814
"2021-12-31",62.049999,62.18,61.32,62.02,4517500,61.081303
"2022-01-03",61.169998,61.75,60.900002,60.98,6493800,60.057045
"2022-01-04",61.139999,61.66,60.290001,60.43,7508500,59.515369
