"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"2021-04-05",45.869999,45.98,45.240002,45.669998,1370300,44.927948
"2021-04-06",45.259998,46.259998,45.080002,46.240002,1219100,45.488689
"2021-04-07",46.389999,46.549999,45.16,45.209999,9e+05,44.475426
"2021-04-08",45.02,45.509998,44.950001,45.380001,1276100,44.642658
"2021-04-09",45.959999,46.709999,45.709999,46.689999,1065900,45.931374
"2021-04-12",46.689999,47.439999,46.689999,47.290001,1381900,46.521622
"2021-04-13",46.759998,46.91,46.32,46.66,838300,45.901863
"2021-04-14",46.549999,46.900002,46.299999,46.540001,989700,45.783817
"2021-04-15",46.860001,47.689999,46.790001,47.560001,938600,46.787243
"2021-04-16",47.939999,48.330002,47.66,48.209999,1164700,47.426674
"2021-04-19",48.189999,48.25,47.82,48.209999,991800,47.426674
"2021-04-20",48.259998,48.619999,47.970001,48.5,910300,47.711967
"2021-04-21",48.689999,49.240002,48.619999,48.98,1202100,48.184166
"2021-04-22",48.950001,48.950001,47.669998,48.209999,1223800,47.426674
"2021-04-23",48.25,48.450001,47.869999,48.389999,634700,47.603752
"2021-04-26",48.560001,48.75,48.080002,48.279999,718600,47.495537
"2021-04-27",48,48.540001,47.810001,48.299999,610400,47.515209
"2021-04-28",48.59,48.919998,48.389999,48.740002,801700,47.948067
"2021-04-29",49.130001,49.810001,48.939999,49.720001,1316800,48.912144
"2021-04-30",49.59,49.59,48.790001,49.400002,1239600,48.597343
"2021-05-03",49.759998,50.75,49.75,50.150002,1925300,49.335163
"2021-05-04",51.77,54.970001,51.450001,54.919998,2639100,54.027657
"2021-05-05",55.029999,57.080002,54.950001,56.919998,2294200,55.995155
"2021-05-06",57.279999,57.279999,56.310001,56.799999,1899500,55.87711
"2021-05-07",56.630001,57.189999,56.18,57.060001,1473900,56.132877
"2021-05-10",57.82,57.939999,56.650002,56.82,1583700,55.896782
"2021-05-11",56.759998,57.23,56.290001,56.389999,1326200,55.47377
"2021-05-12",56.380001,56.869999,55.389999,55.450001,1665000,54.549038
"2021-05-13",55.360001,56.830002,55.279999,56.5,1366900,55.581982
"2021-05-14",56.75,56.900002,56.32,56.490002,579300,55.572144
"2021-05-17",56.560001,56.84,56.029999,56.540001,1169900,55.62133
"2021-05-18",56.43,56.68,54.990002,55.130001,3200600,54.234238
"2021-05-19",55.139999,55.799999,54.639999,55.209999,1499600,54.312943
"2021-05-20",55.060001,56.209999,54.860001,55.849998,994000,54.942539
"2021-05-21",56,56.889999,55.950001,56.23,1212400,55.316368
"2021-05-24",56.459999,56.75,56.139999,56.48,689300,55.562305
"2021-05-25",56.380001,56.75,55.900002,56.029999,1041900,55.119614
"2021-05-26",56.09,56.59,55.919998,56.299999,982900,55.385223
"2021-05-27",56.720001,56.939999,56.490002,56.630001,1369700,55.709869
"2021-05-28",56.759998,57.049999,56.490002,56.860001,1578100,55.936131
"2021-06-01",57.349998,57.970001,57.169998,57.84,1211200,56.900211
"2021-06-02",58,58.060001,57.330002,57.439999,1121500,56.50671
"2021-06-03",57.130001,57.889999,56.830002,57.810001,826100,57.069405
"2021-06-04",58.099998,58.669998,58.02,58.349998,906500,57.602486
"2021-06-07",58.310001,58.549999,57.240002,57.509998,1332400,56.773243
"2021-06-08",57.48,57.700001,57.029999,57.549999,1056800,56.812733
"2021-06-09",57.610001,58.23,57.52,57.880001,1244200,57.138508
"2021-06-10",58.220001,58.419998,57.869999,58.02,844500,57.276714
"2021-06-11",58.369999,58.740002,58.080002,58.689999,1432600,57.938129
"2021-06-14",58.360001,58.830002,58.23,58.599998,1474000,57.849285
"2021-06-15",58.66,59.099998,58.110001,58.73,1893000,57.977619
"2021-06-16",58.73,58.82,57.889999,58.400002,1397800,57.651848
"2021-06-17",58.389999,58.389999,56.75,57.41,1930500,56.674526
"2021-06-18",56.73,58.32,56.529999,57.790001,2990900,57.04966
"2021-06-21",58.360001,58.709999,58.080002,58.490002,1423400,57.740692
"2021-06-22",58.529999,58.84,58.150002,58.650002,873500,57.89864
"2021-06-23",58.720001,59.009998,58.389999,58.419998,821900,57.671581
"2021-06-24",58.669998,58.669998,58.009998,58.27,864700,57.52351
"2021-06-25",58.41,59.029999,58.189999,58.540001,3372900,57.790051
"2021-06-28",58.59,58.599998,57.84,58.560001,943100,57.809795
"2021-06-29",58.73,58.880001,58.32,58.400002,848300,57.651848
"2021-06-30",58.450001,59.380001,58.450001,59.25,1567800,58.490955
"2021-07-01",59.34,59.700001,59.009998,59.139999,913800,58.382366
"2021-07-02",59.200001,59.59,58.650002,59.310001,795800,58.55019
"2021-07-06",59.389999,59.619999,57.849998,58.23,1305500,57.484024
"2021-07-07",57.880001,58.779999,57.860001,58.549999,1658900,57.799923
"2021-07-08",58.150002,58.619999,57.48,58.290001,986500,57.543255
"2021-07-09",58.93,59.080002,58.119999,58.400002,691100,57.651848
"2021-07-12",58,58.16,57.630001,57.990002,1115400,57.247097
"2021-07-13",58.02,58.07,56.66,56.830002,1546000,56.101959
