"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2021-06-10",69.300003,69.82,66.839996,66.970001,1130500,64.620636
"2021-06-11",67.220001,68.029999,67.080002,67.709999,697100,65.334671
"2021-06-14",67.559998,68.040001,65.980003,66.260002,987000,63.935539
"2021-06-15",66.290001,67.5,65.959999,66.809998,1323100,64.466248
"2021-06-16",66.459999,67.690002,65.529999,67.18,1155200,64.823273
"2021-06-17",67.779999,67.82,62.25,62.41,1872800,60.220596
"2021-06-18",60.580002,61.529999,59.07,59.43,3455300,57.345139
"2021-06-21",60.16,61.959999,60.040001,61.790001,1295200,59.622353
"2021-06-22",61.720001,62.209999,60.540001,61.700001,1233000,59.535507
"2021-06-23",61.77,62.529999,61.470001,62.299999,1302400,60.114456
"2021-06-24",62.549999,63.560001,61.57,63.279999,1778700,61.060081
"2021-06-25",63.84,65.919998,63.330002,65.580002,1867300,63.279404
"2021-06-28",65.120003,65.120003,62.860001,63.110001,1423400,60.896046
"2021-06-29",63.860001,64.25,62.189999,62.27,961800,60.085514
"2021-06-30",61.91,62.889999,61.91,62.84,1217000,60.635513
"2021-07-01",63.630001,64.449997,63.150002,64.349998,1364100,62.092545
"2021-07-02",64.099998,64.589996,63.68,64.260002,938400,62.005699
"2021-07-06",63.84,64.139999,61.040001,62.02,2230500,59.844284
"2021-07-07",61.18,62.18,60.060001,61.27,1823600,59.12059
"2021-07-08",59.439999,60.549999,58.400002,59.419998,1889700,57.335491
"2021-07-09",61.16,62.139999,60.310001,62.009998,1260700,60.260574
"2021-07-12",61.34,63.880001,60.41,63.810001,1588400,62.009792
"2021-07-13",63.59,63.900002,61.939999,62.599998,1303300,60.833927
"2021-07-14",62.880001,63.880001,61.07,61.77,1033600,60.027344
"2021-07-15",61.049999,62.52,60.59,61.740002,1177000,59.998192
"2021-07-16",62.41,62.41,59.450001,59.689999,1042300,58.006027
"2021-07-19",57.5,57.98,56.41,57,1943300,55.391914
"2021-07-20",57.060001,60.25,56.810001,59.389999,1671700,57.714489
"2021-07-21",60.459999,62.16,60.169998,61.439999,1174600,59.706654
"2021-07-22",61.189999,61.200001,59.669998,60.18,980900,58.482201
"2021-07-23",61.09,61.529999,60.029999,60.279999,878200,58.57938
"2021-07-26",60.540001,61.959999,60.509998,61.490002,1369500,59.755245
"2021-07-27",60.310001,61.68,59.860001,60.970001,928700,59.249916
"2021-07-28",61.459999,62.060001,60.02,61.23,824000,59.502575
"2021-07-29",62.27,63.09,61.529999,62.299999,720500,60.542393
"2021-07-30",61.709999,62.990002,61.509998,61.619999,2602900,59.881577
"2021-08-02",62.330002,63.93,59.669998,60.790001,1721300,59.074997
"2021-08-03",61.16,62.23,58.990002,62.049999,1113900,60.299442
"2021-08-04",60.810001,62.630001,60.240002,61.060001,1839400,59.337379
"2021-08-05",64.110001,65.639999,62.990002,65.559998,1848100,63.710419
"2021-08-06",66.800003,68.139999,66.580002,67.360001,1410900,65.459641
"2021-08-09",66.879997,68.300003,66,67.5,942000,65.595688
"2021-08-10",67.510002,69.559998,67.440002,68.650002,1201300,66.713249
"2021-08-11",68.839996,70.660004,68.110001,70.209999,1694300,68.22924
"2021-08-12",70.209999,70.940002,69.239998,70.580002,864300,68.588799
"2021-08-13",70.699997,71.239998,69.839996,70.410004,922500,68.423592
"2021-08-16",69.419998,69.919998,68.279999,68.75,1648300,66.810425
"2021-08-17",67.809998,68.349998,66.559998,67.5,1511300,65.595688
"2021-08-18",67.120003,68.449997,66.610001,66.779999,1041400,64.896011
"2021-08-19",65.690002,66.720001,64.720001,65.400002,1207600,63.554939
"2021-08-20",65.339996,66.209999,64.779999,65.809998,1470800,63.953369
"2021-08-23",66.379997,68.07,66.220001,67.550003,1301000,65.644279
"2021-08-24",67.870003,68.959999,67.760002,68.910004,858900,66.965919
"2021-08-25",69.339996,70.860001,68.839996,70.080002,1131200,68.102905
"2021-08-26",70.25,70.550003,68.849998,68.919998,812600,66.975624
"2021-08-27",69.019997,70.879997,69.019997,70.660004,805600,68.66655
"2021-08-30",70.82,70.82,68.650002,68.720001,850700,66.781273
"2021-08-31",68.660004,69.699997,68.260002,68.650002,1416300,66.713249
"2021-09-01",68.900002,68.949997,67.330002,67.620003,943500,65.712303
"2021-09-02",67.830002,68.629997,67.440002,67.879997,716400,65.964973
"2021-09-03",67.959999,68.559998,67.010002,67.559998,678500,65.653992
"2021-09-07",67.599998,68.279999,66.370003,66.440002,1059700,64.565605
"2021-09-08",66.389999,66.610001,65.230003,66.209999,947000,64.342087
"2021-09-09",66.18,68.099998,65.93,66.449997,872900,64.57531
"2021-09-10",67.199997,67.199997,65.389999,65.440002,735000,63.593807
"2021-09-13",66.290001,66.769997,65.25,66.519997,914000,64.643333
"2021-09-14",67,67.150002,65.18,65.57,796400,63.720139
"2021-09-15",65.82,67.050003,65.379997,66.68,939300,64.798828
"2021-09-16",66.900002,67.43,65.980003,66.580002,811800,64.701645
"2021-09-17",68.449997,70.169998,67.449997,67.540001,3855500,65.634567
"2021-09-20",64.879997,65.510002,62.869999,64.290001,2359600,62.476254
"2021-09-21",64.75,65.110001,62.529999,62.799999,1647400,61.028286
"2021-09-22",64.120003,65.139999,63.740002,64.419998,973200,62.602581
"2021-09-23",65.559998,68.260002,65.330002,67.440002,1629400,65.537392
"2021-09-24",67.099998,69.160004,66.879997,68.529999,1507800,66.596626
"2021-09-27",69.589996,72.900002,69.389999,71.889999,2285900,69.861839
"2021-09-28",71.620003,72.720001,70.769997,70.980003,1426400,68.977509
"2021-09-29",71.190002,71.519997,70.169998,70.529999,1034900,68.540207
"2021-09-30",70.889999,71.120003,68.610001,68.75,1363600,66.810425
"2021-10-01",68.900002,70.610001,68.25,70.209999,990800,68.22924
"2021-10-04",69.889999,71.510002,69.470001,69.550003,1041100,67.587852
"2021-10-05",70.309998,71.800003,69.279999,71.540001,1218500,69.521721
"2021-10-06",70.57,71.860001,69.629997,71.75,970200,69.725784
"2021-10-07",72.360001,72.949997,71.809998,72.25,939600,70.625092
"2021-10-08",72.029999,73.599998,71.900002,72.629997,697000,70.996552
"2021-10-11",73.080002,74.629997,72.769997,72.809998,799300,71.172501
"2021-10-12",72.440002,73.370003,72.050003,72.610001,661600,70.977005
"2021-10-13",72.330002,72.449997,70.059998,71.110001,912100,69.510735
"2021-10-14",72.330002,72.919998,71.349998,72.760002,967200,71.123634
"2021-10-15",73.690002,74.120003,72.129997,72.300003,1142900,70.673973
"2021-10-18",71.779999,73.089996,71.470001,72.760002,865100,71.123634
"2021-10-19",73.599998,74.129997,73.120003,73.940002,902400,72.277092
"2021-10-20",73.610001,75.949997,73.489998,75.760002,1671400,74.05616
"2021-10-21",75.449997,76.290001,74.040001,74.730003,1780900,73.049324
"2021-10-22",74.910004,76.150002,74.769997,75.720001,1152900,74.017059
"2021-10-25",75.730003,76.25,75.269997,75.720001,853200,74.017059
"2021-10-26",76.010002,76.769997,75.279999,75.480003,1062000,73.782455
"2021-10-27",74.949997,75.739998,73.389999,73.400002,1230200,71.749237
"2021-10-28",73.790001,75.059998,73.470001,74.949997,1148100,73.264366
"2021-10-29",75.120003,75.389999,71.75,72.150002,2189700,70.527344
"2021-11-01",73.029999,74.309998,72.540001,74.099998,1441300,72.433495
"2021-11-02",74.019997,74.519997,73.489998,74.110001,1089400,72.443268
"2021-11-03",73.410004,77.57,73.269997,76.129997,2075100,74.417831
"2021-11-04",71.669998,73.160004,69.650002,71.809998,2974300,70.194984
"2021-11-05",72.739998,74.339996,72.150002,72.459999,2309000,70.830376
"2021-11-08",73.239998,74.25,72.620003,73.269997,1519800,71.622154
"2021-11-09",72.470001,72.830002,71.300003,72.209999,1416300,70.585991
