"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2021-10-20",197.179993,199.729996,197.179993,199.649994,297200,196.144043
"2021-10-21",199.899994,199.899994,198.399994,199.600006,264700,196.094925
"2021-10-22",200.190002,202.479996,200.190002,201.820007,250300,198.27594
"2021-10-25",202,202.679993,200.210007,201.279999,371700,197.745422
"2021-10-26",201.759995,203.240005,199.669998,202.679993,403000,199.120819
"2021-10-27",203.229996,205.610001,202.759995,204.020004,491000,200.437302
"2021-10-28",203.970001,207.690002,202.960007,206.270004,462500,202.647797
"2021-10-29",206.039993,206.899994,203.369995,204.210007,704500,200.623962
"2021-11-01",204.610001,204.610001,197.380005,201.369995,684300,197.833817
"2021-11-02",202.139999,204.080002,201.389999,203.440002,495000,199.867493
"2021-11-03",203.669998,204.559998,202.220001,203.410004,505400,199.838028
"2021-11-04",203.679993,203.729996,198.850006,200.479996,381100,196.959457
"2021-11-05",201.710007,203.399994,201.160004,202.350006,387200,198.796631
"2021-11-08",202.929993,202.929993,200.110001,201.759995,324000,198.21698
"2021-11-09",202.169998,202.899994,201.210007,202.550003,268500,198.993118
"2021-11-10",202,203.410004,200,202.800003,458600,199.238739
"2021-11-11",202.740005,203.539993,201.5,203.490005,336700,199.916626
"2021-11-12",203.979996,205.970001,203.039993,205.039993,314500,201.439392
"2021-11-15",205.429993,206.149994,203.610001,206.100006,384200,202.480789
"2021-11-16",206.100006,206.830002,203.350006,204.529999,408500,200.938339
"2021-11-17",203.649994,204.570007,197.919998,204.289993,431100,200.702545
"2021-11-18",205.070007,205.979996,203.520004,204.039993,364300,200.456955
"2021-11-19",204.529999,204.679993,201.020004,201.339996,584500,197.804367
"2021-11-22",201.610001,205.369995,200.320007,202.300003,548100,198.747513
"2021-11-23",203.169998,207.520004,202.229996,207.119995,543600,203.482864
"2021-11-24",207.029999,211.110001,207.029999,210.559998,523200,206.862457
"2021-11-26",206.910004,209.639999,203.570007,203.570007,472900,199.995193
"2021-11-29",205,211.179993,204.100006,210,974500,206.312286
"2021-11-30",208.690002,211.970001,205.949997,206.25,2349800,202.628159
"2021-12-01",207.320007,208.910004,201.220001,201.339996,1010900,197.804367
