"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2021-06-23",31.583452,31.611982,31.25535,31.490728,5865127,30.547462
"2021-06-24",31.533524,31.704708,31.412268,31.554922,4506869,30.609732
"2021-06-25",31.46933,31.897289,31.462196,31.833096,5297597,30.879574
"2021-06-28",31.932953,32.118401,31.81883,32.00428,4368772,31.04563
"2021-06-29",31.968616,32.389442,31.654779,31.783167,5243480,30.831142
"2021-06-30",31.7903,31.897289,31.512127,31.604851,5401906,30.658165
"2021-07-01",31.704708,32.161198,31.569187,32.082741,4346060,31.12174
"2021-07-02",32.132668,32.232525,31.954351,32.189728,3287970,31.225523
"2021-07-06",32.03281,32.111271,31.554922,32.011414,5688194,31.052551
"2021-07-07",32.054207,32.232525,31.811699,32.189728,4326993,31.225523
"2021-07-08",32.018543,32.225391,31.868759,32.047077,4349144,31.087143
"2021-07-09",31.982882,32.175465,31.776033,32.03281,4222964,31.073307
"2021-07-12",32.018543,32.310986,31.868759,32.296719,5112673,31.329309
"2021-07-13",32.225391,32.310986,31.825962,31.947218,3816945,30.990276
"2021-07-14",32.06134,32.446507,31.847361,32.196861,5203102,31.232443
"2021-07-15",32.054207,32.660484,32.025677,32.617687,6530516,31.640663
"2021-07-16",32.646221,33.02425,32.610558,32.803139,5339797,31.82056
"2021-07-19",32.767475,32.853065,31.911554,32.325249,11379754,31.356985
"2021-07-20",32.496433,33.109844,32.310986,32.853065,6796896,31.868994
"2021-07-21",32.767475,33.009987,32.660484,32.696148,5217823,31.716774
"2021-07-22",32.731812,32.888729,32.667618,32.817406,4129311,31.834402
"2021-07-23",32.960056,33.273895,32.874466,33.181171,3537246,32.187267
"2021-07-26",33.166904,33.44508,32.917259,33.102711,6401392,32.11116
"2021-07-27",32.974323,33.780315,32.888729,33.694721,5058416,32.685432
"2021-07-28",33.601997,33.801712,33.238232,33.509274,5365594,32.505543
"2021-07-29",33.644794,33.873039,33.580601,33.751781,4389802,32.740791
"2021-07-30",33.694721,33.965763,33.323822,33.380882,5109589,32.381001
"2021-08-02",33.573467,33.808846,33.380882,33.544937,5409757,32.540138
"2021-08-03",33.844509,33.930099,33.552067,33.794579,6120431,32.782299
"2021-08-04",33.666191,33.787449,33.109844,33.359486,5471305,32.360241
"2021-08-05",33.402283,34.072754,33.388016,34.001427,5778063,32.982956
"2021-08-06",33.930099,34.151215,33.744652,33.951496,4871670,32.934521
"2021-08-09",33.887302,33.951496,33.594864,33.830242,3673100,32.816895
"2021-08-10",33.844509,34.108418,33.680454,33.930099,4927890,32.913761
"2021-08-11",34.058487,34.422253,34.001427,34.379459,5103000,33.349667
"2021-08-12",34.279602,34.358059,34.06562,34.258202,5343162,33.498219
"2021-08-13",34.393723,34.52211,34.265335,34.486446,3082297,33.721397
"2021-08-16",34.593437,35.021397,34.529243,34.650497,8814234,33.881809
"2021-08-17",34.49358,34.529243,34.051353,34.49358,6716001,33.728378
"2021-08-18",34.457916,34.55064,34.208275,34.393723,7270211,33.630733
"2021-08-19",34.46505,35.021397,34.43652,34.800285,5555145,34.028275
