"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2021-09-27",21.57,22.309999,21.52,22.139999,10981700,21.954456
"2021-09-28",22.620001,23.209999,22.299999,22.389999,10461200,22.202358
"2021-09-29",22.379999,22.4,21.83,22.16,7058100,21.974287
"2021-09-30",22.08,22.129999,21.450001,21.620001,9729800,21.438814
"2021-10-01",21.84,22.370001,21.610001,22.280001,7394900,22.093285
"2021-10-04",22.870001,23.43,22.780001,23.02,14845100,22.82708
"2021-10-05",23.48,23.790001,23.09,23.41,11167200,23.213814
"2021-10-06",22.940001,23.219999,22.43,22.99,12047100,22.797331
"2021-10-07",23.049999,23.58,22.950001,23.379999,9325200,23.184063
"2021-10-08",23.68,24.120001,23.549999,23.940001,8003300,23.739372
"2021-10-11",24.48,25.5,24.309999,24.68,14863900,24.473167
"2021-10-12",24.57,25.299999,24.27,24.49,15736100,24.284761
"2021-10-13",24.24,24.68,23.809999,24.49,9252700,24.284761
"2021-10-14",24.84,24.940001,24.559999,24.799999,7297100,24.592161
"2021-10-15",25.200001,26.08,25.09,26.01,17449600,25.792023
"2021-10-18",26.129999,26.68,25.83,26.01,15290300,25.792023
"2021-10-19",26.15,26.639999,25.129999,26.1,14843700,25.881269
"2021-10-20",26.040001,26.469999,25.889999,26.459999,10692000,26.238249
"2021-10-21",26.209999,26.24,25.15,25.35,12488000,25.137554
"2021-10-22",25.41,26,25.24,25.889999,8899900,25.673027
"2021-10-25",26.280001,26.75,26.059999,26.219999,9246800,26.000261
"2021-10-26",26.389999,26.6,26.1,26.16,6875100,25.940765
"2021-10-27",25.74,26.389999,25.09,25.120001,12535100,24.909483
"2021-10-28",24.950001,25.620001,24.83,25.610001,8239900,25.395374
"2021-10-29",25.51,25.58,24.860001,24.99,9670300,24.780569
"2021-11-01",25.290001,25.690001,25.290001,25.58,10798600,25.365627
"2021-11-02",25.35,25.549999,25.209999,25.379999,5936300,25.167301
"2021-11-03",24.83,25.299999,24.49,24.719999,9905600,24.512833
"2021-11-04",25.290001,25.6,24.129999,24.52,10025800,24.31451
"2021-11-05",24.969999,25.209999,24.620001,24.690001,7423300,24.483086
"2021-11-08",24.809999,25.34,24.77,25.120001,5664900,24.909483
"2021-11-09",25,25.17,24.379999,25.08,7214200,24.869816
"2021-11-10",24.98,25.08,23.76,23.83,10645400,23.630293
"2021-11-11",23.790001,24.049999,23.6,23.719999,8241500,23.521214
"2021-11-12",23.58,23.74,23.25,23.57,7195700,23.372469
"2021-11-15",23.450001,23.67,23.15,23.4,5997500,23.203896
"2021-11-16",23.52,23.940001,23.35,23.610001,7794700,23.412136
"2021-11-17",23.200001,23.57,22.799999,22.969999,8582700,22.777498
"2021-11-18",22.92,23.1,22.379999,22.76,8167600,22.56926
"2021-11-19",22.209999,22.34,21.68,22.040001,14475900,21.855295
"2021-11-22",21.950001,22.629999,21.889999,22.290001,10262000,22.103199
"2021-11-23",22.75,23.290001,22.690001,22.969999,11722800,22.777498
"2021-11-24",22.690001,23.639999,22.67,23.219999,6717300,23.025404
"2021-11-26",21.530001,21.74,21.23,21.65,10950300,21.468561
"2021-11-29",22.389999,22.559999,21.9,22.25,9665400,22.063534
"2021-11-30",21.6,21.98,21.34,21.59,16082000,21.409065
"2021-12-01",22.25,22.48,21.139999,21.15,10210000,20.972752
"2021-12-02",21.049999,22.09,20.77,22.02,11238400,21.835461
"2021-12-03",22.370001,22.559999,21.690001,22,9155300,21.81563
"2021-12-06",22.360001,22.98,22.09,22.58,9493500,22.390766
"2021-12-07",23,23.74,22.950001,23.4,7886300,23.203896
"2021-12-08",23.379999,23.940001,23.33,23.790001,7290700,23.636084
"2021-12-09",23.4,23.559999,23.139999,23.49,7036600,23.338022
"2021-12-10",23.879999,23.98,23.25,23.93,9503400,23.775177
"2021-12-13",23.549999,23.620001,22.549999,22.709999,9398800,22.563068
"2021-12-14",22.540001,23.1,22.370001,22.48,11354300,22.334555
"2021-12-15",22.379999,22.49,21.51,22.27,9060500,22.125916
"2021-12-16",22.629999,23.16,22.48,22.559999,6603300,22.41404
"2021-12-17",22.299999,22.5,21.73,22.110001,14672800,21.966951
"2021-12-20",21.389999,21.860001,21.07,21.799999,8292600,21.658957
"2021-12-21",22.059999,22.76,22.059999,22.66,7126600,22.513393
"2021-12-22",22.610001,22.98,22.299999,22.73,5262100,22.582939
"2021-12-23",22.85,23.07,22.700001,22.709999,3455600,22.563068
"2021-12-27",22.66,23.190001,22.299999,23.17,6267200,23.020094
"2021-12-28",23.129999,23.469999,22.92,23.049999,4107600,22.900867
"2021-12-29",22.969999,23.24,22.68,22.940001,7203600,22.791582
"2021-12-30",22.9,23.17,22.700001,22.76,5751300,22.612745
"2021-12-31",22.629999,23.02,22.610001,22.870001,4953600,22.722034
"2022-01-03",23.139999,24.049999,23.01,23.99,9199200,23.834785
"2022-01-04",24.85,25.83,24.719999,25.43,17741700,25.265471
"2022-01-05",25.73,25.950001,25.15,25.18,11741400,25.017088
"2022-01-06",25.98,26.200001,25.440001,25.610001,8984600,25.444305
"2022-01-07",25.67,26.25,25.440001,26.02,8115100,25.851654
"2022-01-10",26.08,26.280001,25.360001,25.85,10612600,25.682753
"2022-01-11",26.129999,27.25,25.860001,27.24,13232400,27.063761
"2022-01-12",27.370001,27.559999,27.120001,27.440001,12482900,27.262466
"2022-01-13",27.700001,28.290001,27.57,27.93,14906400,27.749296
"2022-01-14",27.98,28.85,27.950001,28.74,13120200,28.554054
"2022-01-18",29,29.200001,28.299999,28.6,12294200,28.414961
"2022-01-19",28.91,28.950001,27.959999,28.379999,10423300,28.196384
"2022-01-20",28.24,28.940001,28.049999,28.139999,12387500,27.957937
"2022-01-21",27.790001,28.08,27.15,27.540001,14362800,27.36182
