"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"2021-03-02",124.82,126.190002,122.860001,124.730003,985700,119.386871
"2021-03-03",124.120003,124.860001,122.739998,123.379997,854200,118.094696
"2021-03-04",124.279999,125.139999,121.089996,122.019997,1076100,116.792953
"2021-03-05",122.800003,124.349998,120.910004,123.800003,622300,118.496704
"2021-03-08",124.5,128.080002,123.589996,126.610001,625000,121.186333
"2021-03-09",126.239998,129.169998,126.239998,127.730003,646000,122.258362
"2021-03-10",128.770004,130.610001,127.57,129.070007,821200,123.540962
"2021-03-11",128.740005,130.649994,128.740005,129.350006,842000,123.808952
"2021-03-12",128.589996,131.809998,128.190002,131.710007,771200,127.050087
"2021-03-15",132.320007,134.520004,131.839996,133.509995,1069600,128.786377
"2021-03-16",133.460007,134.410004,132.679993,133.949997,625400,129.210831
"2021-03-17",133.949997,133.949997,130.699997,131.339996,824600,126.693161
"2021-03-18",130.869995,132.479996,129.740005,132.100006,877100,127.426277
"2021-03-19",130.460007,130.789993,126.040001,126.349998,2427300,121.879715
"2021-03-22",126.290001,128.550003,126.050003,128.160004,615400,123.625679
"2021-03-23",128.440002,130.889999,127.480003,130.399994,1088200,125.78643
"2021-03-24",130.169998,131.570007,130.059998,130.970001,1025500,126.33625
"2021-03-25",131.669998,131.669998,128.399994,131,679300,126.365204
"2021-03-26",131.520004,132.639999,129.990005,132.589996,629000,127.898933
"2021-03-29",133.029999,134.660004,130.949997,133.199997,858600,128.48735
"2021-03-30",133.389999,133.880005,131.949997,133,654800,128.294449
"2021-03-31",132.610001,134.759995,131.070007,132.550003,1374300,127.860352
"2021-04-01",133.119995,135.460007,132.990005,135.449997,1114800,130.657776
"2021-04-05",135.369995,135.539993,132.990005,135.009995,866500,130.233307
"2021-04-06",135,137.449997,134.139999,137.160004,886100,132.307251
"2021-04-07",137.399994,138.070007,136.419998,137.600006,732600,132.731689
"2021-04-08",137.25,139.039993,137.25,137.580002,596300,132.712402
"2021-04-09",137.940002,138.899994,137.330002,138.380005,464200,133.4841
"2021-04-12",138.880005,139.339996,137.309998,139.270004,728700,134.342606
"2021-04-13",139.649994,141.740005,139.309998,141.149994,707700,136.156082
"2021-04-14",140.399994,140.729996,138.580002,139.029999,924100,134.111099
"2021-04-15",139.949997,142.220001,139.779999,142.179993,604100,137.149643
"2021-04-16",142.550003,143.080002,141.429993,142.610001,559400,137.564438
"2021-04-19",143.009995,144.119995,141.940002,143.929993,623800,138.837708
"2021-04-20",144.419998,148.279999,144.419998,146.389999,1084500,141.210693
"2021-04-21",146.570007,147.679993,146.009995,146.380005,490500,141.20105
"2021-04-22",146.410004,148.149994,145.809998,147,577700,141.799118
"2021-04-23",146.729996,148,146.330002,147.539993,556900,142.320007
"2021-04-26",148.350006,148.889999,145.869995,146.589996,622800,141.403625
"2021-04-27",146.669998,147.550003,145.529999,147.259995,457600,142.049896
"2021-04-28",147.860001,148.309998,145.929993,146.580002,540600,141.393997
"2021-04-29",147.169998,149.039993,145.639999,146.820007,1259400,141.625488
"2021-04-30",146.660004,149.429993,145.850006,148.690002,1125600,143.429337
"2021-05-03",148.699997,148.960007,145.169998,145.619995,730400,140.467926
"2021-05-04",145.929993,148.369995,145.929993,148.240005,694500,142.995224
"2021-05-05",147.639999,147.639999,144.020004,145.850006,767400,140.689804
"2021-05-06",146.190002,146.679993,144.970001,145.559998,660700,140.410065
"2021-05-07",145.289993,147.529999,145.029999,147.240005,630600,142.03064
"2021-05-10",148.020004,149.220001,147.460007,147.839996,527600,142.60939
"2021-05-11",147.130005,147.130005,143.789993,145.100006,553800,139.966339
"2021-05-12",145.169998,145.669998,141.669998,141.800003,533400,136.783112
"2021-05-13",142.020004,146.210007,141.850006,144.990005,475900,139.860229
"2021-05-14",143.630005,145.259995,143.630005,144.630005,497200,139.51297
"2021-05-17",145.210007,146.419998,144.600006,145.610001,455600,140.458298
"2021-05-18",145,146.479996,144.149994,145.25,507600,140.111038
"2021-05-19",144.880005,145.059998,142.509995,144.929993,723300,139.802353
"2021-05-20",145.279999,146.119995,145.100006,146.039993,740600,140.873062
"2021-05-21",145.990005,146.839996,145.139999,145.830002,563900,140.670502
"2021-05-24",146.070007,147.559998,145.639999,146.910004,509600,141.712311
"2021-05-25",146.880005,148.479996,145.669998,147.770004,497200,142.54187
"2021-05-26",147.360001,148.910004,146.770004,147.289993,557100,142.078842
"2021-05-27",147.479996,148.289993,145.960007,147.300003,767000,142.088486
"2021-05-28",148.429993,150.229996,148.289993,149.809998,890600,144.509689
"2021-06-01",149.850006,152.029999,149,152.009995,627500,146.631866
"2021-06-02",152.710007,154.309998,151.630005,154,677300,148.551453
"2021-06-03",154.169998,154.279999,152.75,153.779999,606600,148.339233
"2021-06-04",154.660004,154.990005,153.149994,154.169998,558700,148.715439
"2021-06-07",154.710007,157.350006,154.309998,156.580002,877400,151.040176
"2021-06-08",156.809998,158.729996,156.570007,158.509995,661700,152.901871
"2021-06-09",158.75,159.539993,158.139999,158.570007,462000,152.959763
"2021-06-10",158.339996,159.960007,157.880005,159.160004,461300,153.528885
"2021-06-11",158.789993,159.639999,157.460007,159.449997,487300,153.808624
"2021-06-14",158.669998,159.979996,157.770004,159.940002,644000,155.25499
"2021-06-15",160,160.369995,158.740005,159.979996,512700,155.293808
"2021-06-16",160.570007,161.380005,159.339996,159.529999,1219400,154.856995
"2021-06-17",159.320007,161.690002,158.339996,161.360001,989000,156.633392
"2021-06-18",161.869995,162.820007,159.339996,159.410004,1358800,154.740509
"2021-06-21",159.899994,163.850006,159.899994,163.660004,554400,158.866028
"2021-06-22",163.779999,164.850006,162.880005,162.929993,429400,158.157394
"2021-06-23",162.479996,165.190002,162.070007,164.779999,654900,159.953217
"2021-06-24",164.850006,165.360001,163.130005,163.729996,732700,158.93396
"2021-06-25",164,170.039993,163.279999,166.389999,2392300,161.516052
"2021-06-28",166.25,166.259995,164.339996,165.589996,556100,160.739487
"2021-06-29",165.949997,166.580002,164.190002,164.630005,554800,159.807602
"2021-06-30",164.690002,166.130005,163.410004,163.820007,1007500,159.021347
"2021-07-01",163.190002,165.940002,162.770004,164.910004,830200,160.079391
"2021-07-02",165.449997,166.949997,165.179993,166.860001,549600,161.972275
"2021-07-06",166.949997,171.429993,166.130005,170.839996,736400,165.835709
"2021-07-07",170.470001,172.25,169.199997,171.5,1265700,166.476379
"2021-07-08",170.449997,171.779999,169.309998,169.520004,865000,164.554352
"2021-07-09",170.229996,173.369995,169.119995,173.190002,546700,168.116867
"2021-07-12",172.949997,174.889999,172.699997,174.679993,543400,169.563217
"2021-07-13",174.369995,174.679993,171.300003,171.589996,591000,166.563736
"2021-07-14",171.800003,173.639999,171.800003,172.360001,746200,167.311172
"2021-07-15",172.470001,173.639999,172.190002,172.729996,1108000,167.670334
"2021-07-16",173.160004,173.729996,171.759995,171.940002,1073800,166.903473
"2021-07-19",171.320007,171.910004,166.649994,168.479996,1381300,163.5448
"2021-07-20",169.360001,171.740005,169.360001,170.649994,1138900,165.651276
"2021-07-21",170.199997,170.619995,167.289993,167.449997,1088600,162.544998
"2021-07-22",167.440002,168.960007,167.100006,168.770004,754000,163.82634
"2021-07-23",169,171.960007,168.440002,171.410004,433300,166.389008
"2021-07-26",171.009995,171.789993,169.429993,170.759995,737400,165.758041
"2021-07-27",170.779999,173.309998,169.550003,171.800003,861100,166.767578
"2021-07-28",172.460007,173.75,170.160004,172.570007,871700,167.51503
"2021-07-29",173.339996,174.660004,172.529999,173.740005,524000,168.650757
"2021-07-30",174.369995,177,174.110001,174.139999,765500,169.039047
"2021-08-02",176.220001,176.889999,175.179993,175.289993,995500,170.155334
"2021-08-03",175.729996,176.619995,174.600006,176.550003,1408600,171.378433
"2021-08-04",176.699997,178.220001,174.860001,175.729996,722400,170.582458
"2021-08-05",176.429993,176.759995,173.419998,175.850006,638700,170.698944
"2021-08-06",176.279999,177.360001,174.789993,175.509995,583400,170.368896
"2021-08-09",175.449997,176.199997,174.429993,175.339996,617600,170.203888
"2021-08-10",173.570007,175.800003,173.470001,173.649994,740100,168.5634
"2021-08-11",174.550003,174.830002,172.990005,173.419998,629500,168.340118
"2021-08-12",173.889999,175.259995,173.410004,174.660004,555300,169.543793
"2021-08-13",175.210007,176.240005,174.25,175.679993,617800,170.53392
"2021-08-16",175.490005,176.380005,174.679993,175.300003,918700,170.165054
"2021-08-17",174.729996,176.419998,174.570007,176.380005,827700,171.213425
"2021-08-18",176.580002,176.850006,174.270004,174.470001,915900,169.359375
"2021-08-19",173.669998,176.570007,173.240005,176.5,781300,171.32991
"2021-08-20",176.720001,179.289993,175.770004,177.559998,737000,172.358841
"2021-08-23",177.429993,178.789993,176.5,177.399994,509000,172.203537
"2021-08-24",177.889999,178.419998,175.809998,177.800003,743900,172.591843
"2021-08-25",177.800003,181.25,177.520004,180.229996,718800,174.950653
"2021-08-26",180.729996,183.649994,180.710007,181.5,883200,176.183441
"2021-08-27",182.539993,183.880005,181.860001,183.449997,484800,178.076309
"2021-08-30",183.479996,185.649994,183.149994,185.649994,521200,180.211868
"2021-08-31",185.5,187.330002,184.190002,186.910004,841700,181.434967
"2021-09-01",187.25,190.130005,186.339996,189.779999,866000,184.220901
"2021-09-02",190.210007,191.970001,189.360001,191.610001,886200,185.997299
"2021-09-03",191.639999,193.899994,190.270004,193.710007,896800,188.035797
"2021-09-07",192.850006,193.699997,188.690002,190.899994,596900,185.30809
"2021-09-08",190.5,194.669998,190.289993,192.399994,597700,186.76416
"2021-09-09",192.259995,192.800003,186.960007,187.139999,961000,181.658234
"2021-09-10",187.630005,189.080002,186.550003,187.050003,751100,181.570877
"2021-09-13",188.5,189.789993,186.410004,186.449997,529100,180.988434
"2021-09-14",185.800003,186.820007,182.800003,183.559998,472800,179.385742
"2021-09-15",183.899994,185.550003,183.309998,184.139999,403800,179.95253
"2021-09-16",184.720001,185.419998,182.410004,182.940002,428800,178.779831
"2021-09-17",183.5,185.289993,179.759995,180.110001,1301000,176.014206
"2021-09-20",178.759995,181.990005,177.770004,180.169998,664700,176.07283
"2021-09-21",180.5,182.100006,179.490005,179.740005,448800,175.652618
"2021-09-22",180.679993,180.960007,178.740005,179.179993,549800,175.105331
"2021-09-23",179.410004,180.460007,176.639999,177.199997,525800,173.170364
"2021-09-24",176.550003,177.509995,172.470001,172.610001,1026500,168.684738
"2021-09-27",172.75,174.169998,169.419998,169.479996,700400,165.625931
"2021-09-28",168.229996,171.960007,166.850006,171.339996,788100,167.443619
"2021-09-29",172.029999,173.320007,171.309998,172.009995,425800,168.098389
"2021-09-30",172.929993,173.309998,167.770004,167.990005,808300,164.169815
"2021-10-01",169.289993,170.190002,166.899994,168.940002,514300,165.09819
"2021-10-04",168.539993,170.029999,166.610001,168.300003,633300,164.472763
"2021-10-05",169.089996,169.220001,166.770004,167.889999,447900,164.072098
"2021-10-06",167.309998,170.720001,165.970001,170.529999,447500,166.652039
"2021-10-07",171.529999,174,171.399994,172.429993,585100,168.508835
"2021-10-08",172.25,173.399994,170.860001,171.070007,336300,167.179764
"2021-10-11",170.350006,172.490005,169.660004,172.380005,529200,168.459991
"2021-10-12",173.699997,177.990005,173.059998,176.660004,563000,172.642639
"2021-10-13",176.800003,180,176.25,179.759995,470900,175.672134
"2021-10-14",180.880005,183.899994,180.240005,183.699997,483600,179.522552
"2021-10-15",184.589996,184.75,182.029999,182.970001,757300,178.809174
"2021-10-18",182.070007,184.690002,182.009995,184.169998,595200,179.981873
"2021-10-19",184.669998,184.960007,183,183.460007,380100,179.288025
"2021-10-20",183.600006,185.460007,183.460007,184.990005,408500,180.783234
"2021-10-21",185.839996,185.839996,184.389999,185.119995,310600,180.910263
"2021-10-22",185.910004,187.419998,185.419998,185.929993,528300,181.701828
"2021-10-25",186.350006,188.729996,185.369995,188.470001,355300,184.184082
"2021-10-26",188.309998,188.309998,186.399994,187.279999,381900,183.021133
"2021-10-27",187.889999,187.889999,183.309998,183.860001,564400,179.678909
"2021-10-28",183.5,193.940002,183.5,193.600006,802200,189.197433
"2021-10-29",193.139999,198.360001,192.029999,197.369995,1310800,192.881699
"2021-11-01",197.820007,197.820007,192.229996,197.080002,551000,192.598297
"2021-11-02",197.960007,202.820007,197.699997,202.039993,763400,197.44548
"2021-11-03",202.869995,203.990005,196.809998,199.419998,623400,194.885071
"2021-11-04",199.419998,201.690002,197.839996,198.880005,413200,194.357361
"2021-11-05",199.539993,200,192.529999,194.600006,570300,190.174683
"2021-11-08",196,197.529999,193.149994,197.429993,433600,192.940323
"2021-11-09",197.429993,199.220001,196.460007,197.710007,413800,193.213959
"2021-11-10",197.570007,199.110001,196.899994,197.149994,409400,192.666687
"2021-11-11",197.149994,198.580002,196.039993,198.389999,278400,193.878494
"2021-11-12",198.399994,199.949997,196.570007,197.960007,401300,193.458282
"2021-11-15",197.960007,199.990005,195.910004,199.929993,445800,195.383484
"2021-11-16",200.139999,200.470001,196.789993,198.779999,586200,194.259628
"2021-11-17",198.5,201.630005,195.25,201.270004,596100,196.693008
"2021-11-18",202.070007,204.509995,201.740005,203.309998,811300,198.686615
"2021-11-19",203.669998,204.740005,201.130005,202.160004,805800,197.562759
"2021-11-22",203.190002,203.190002,199.220001,199.899994,540900,195.354141
"2021-11-23",199.899994,202.089996,198.440002,200.389999,959100,195.833008
"2021-11-24",200.389999,204.679993,199.350006,204.320007,524000,199.67366
"2021-11-26",202.050003,202.800003,197.350006,198.789993,458700,194.269394
"2021-11-29",200.649994,204.979996,198.800003,203.050003,936100,198.432541
"2021-11-30",201.740005,203.910004,197.070007,200,3263800,195.451889
"2021-12-01",202.029999,207.559998,199.009995,199.539993,796700,195.002335
"2021-12-02",200.639999,206.610001,200,205.410004,710200,200.738861
"2021-12-03",206.25,206.919998,199.710007,201.479996,794400,196.898224
"2021-12-06",202.570007,207.199997,201.899994,205.190002,833600,200.523849
"2021-12-07",206.619995,211.199997,206.169998,208.699997,625400,203.954041
"2021-12-08",208.779999,210.380005,207.520004,209.360001,448400,204.59903
"2021-12-09",208.889999,208.889999,205.389999,205.520004,473400,200.846359
"2021-12-10",206.770004,209.279999,204.100006,208.710007,576200,203.963821
"2021-12-13",208.960007,214.449997,208.869995,212.850006,715800,208.009674
"2021-12-14",210.970001,212.339996,206.339996,209.759995,753100,206.200882
"2021-12-15",209.929993,215.229996,209.929993,214.410004,572900,210.771988
"2021-12-16",213.889999,214.830002,211.639999,214.410004,539100,210.771988
"2021-12-17",214.729996,217.729996,214.259995,215.149994,1784400,211.499435
"2021-12-20",211.860001,216.509995,210.110001,215.800003,709600,212.138397
"2021-12-21",217,218.860001,214.759995,215.729996,824100,212.06958
