"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2021-04-26",209.710007,212.75,209.020004,210.889999,515300,209.001633
"2021-04-27",210.75,212.240005,209.759995,210.669998,530000,208.783615
"2021-04-28",210.039993,211.800003,209.449997,210.139999,311900,208.258377
"2021-04-29",210.669998,211.710007,206.740005,207.910004,424200,206.048325
"2021-04-30",198,198.5,187.089996,187.970001,1525900,186.286865
"2021-05-03",190.550003,194.899994,189.389999,194.740005,1279200,192.996262
"2021-05-04",193.410004,194.009995,187.630005,192.169998,929900,190.449265
"2021-05-05",192.080002,193,190.070007,192.600006,755900,190.875427
"2021-05-06",192.130005,193.289993,189.619995,193.100006,725400,191.370941
"2021-05-07",193.850006,197.5,193.600006,195.160004,407800,193.412491
"2021-05-10",196,196.479996,193.190002,193.210007,600500,191.479965
"2021-05-11",191.800003,195.949997,191.039993,194.75,855500,193.006165
"2021-05-12",191.899994,193.679993,189.830002,192.320007,608300,190.980392
"2021-05-13",193.5,196.360001,193,194.860001,539400,193.502686
"2021-05-14",195.380005,196.729996,194.520004,195.419998,344500,194.058777
"2021-05-17",195,195.919998,194.190002,195,447900,193.641708
"2021-05-18",193.929993,195.089996,192.729996,193.539993,567900,192.191864
"2021-05-19",192.259995,194.119995,189.940002,193.860001,467600,192.509659
"2021-05-20",194.990005,199.690002,194.75,198.75,512700,197.365585
"2021-05-21",202.009995,204.559998,201.75,202.139999,599700,200.731979
"2021-05-24",206.5,207.619995,204.770004,206.330002,598300,204.892792
"2021-05-25",207.509995,208.410004,204.460007,206.550003,614400,205.111267
"2021-05-26",205.690002,206.190002,201.589996,205.610001,606500,204.177811
"2021-05-27",205.690002,207.899994,205.259995,205.960007,1152900,204.525406
"2021-05-28",207,210.220001,205.759995,205.850006,472200,204.416138
"2021-06-01",207.130005,208.320007,204.979996,206.25,569200,204.813354
"2021-06-02",205.610001,206.179993,203.119995,203.559998,470900,202.14209
"2021-06-03",202.509995,204.679993,202,203.929993,417400,202.509506
"2021-06-04",205.910004,207,204.850006,205.309998,488600,203.879898
"2021-06-07",207.020004,208.529999,205.600006,206.699997,589200,205.260223
"2021-06-08",208.119995,208.889999,204.880005,207.479996,407100,206.03479
"2021-06-09",209.839996,214,209.059998,211.960007,827900,210.483597
"2021-06-10",215.5,220.619995,212.539993,220.529999,762100,218.993881
"2021-06-11",217.639999,219.720001,217.179993,218.580002,351100,217.05748
"2021-06-14",221.5,232.149994,221.5,231.699997,1240800,230.086075
"2021-06-15",232.100006,238.050003,231.419998,236.460007,1185400,234.812943
"2021-06-16",234.800003,237.75,232.539993,236.800003,852300,235.150558
"2021-06-17",236.389999,241.669998,236,240.460007,919200,238.785065
"2021-06-18",240.020004,242.5,237.320007,237.440002,1252100,235.786102
"2021-06-21",238.440002,239.990005,235.899994,239.520004,455700,237.851624
"2021-06-22",239.039993,241.529999,238.009995,241.089996,502600,239.410675
"2021-06-23",242.75,245.160004,242.75,243.399994,567000,241.70459
"2021-06-24",244.960007,247.419998,244.880005,245.970001,544300,244.256699
"2021-06-25",245.820007,246.369995,243.830002,244.5,1248200,242.796921
"2021-06-28",245.419998,247.279999,245.070007,247.089996,528900,245.368881
"2021-06-29",246.979996,247.460007,245.020004,246.289993,421200,244.574448
"2021-06-30",246.660004,247.789993,244.360001,246.520004,647400,244.802841
"2021-07-01",245.720001,248.449997,245.190002,247.880005,537900,246.153412
"2021-07-02",248,250.759995,246.669998,250.529999,383100,248.784927
"2021-07-06",246.899994,248.619995,244.160004,247.929993,1004300,246.203018
"2021-07-07",250.130005,252.669998,249.710007,252.080002,712400,250.324127
"2021-07-08",249.929993,251.309998,247.059998,250.729996,462800,248.983521
"2021-07-09",249.929993,249.929993,245.660004,247.679993,623400,245.954758
"2021-07-12",248.070007,250.240005,248.070007,248.839996,388700,247.106674
"2021-07-13",249.550003,250.929993,247.889999,248.759995,475900,247.027237
"2021-07-14",247.490005,249.589996,245.690002,249.380005,577600,247.642929
"2021-07-15",248,250.139999,247.779999,249.600006,376700,247.861404
"2021-07-16",250.470001,254.210007,250.470001,253.190002,403300,251.426392
"2021-07-19",251.380005,254.5,250.839996,253.550003,497500,251.783875
"2021-07-20",253.770004,256.540009,253.550003,255.25,449000,253.472046
"2021-07-21",255.460007,255.539993,252.080002,255.369995,298000,253.591217
"2021-07-22",256.089996,258.609985,256.089996,257.589996,226100,255.795746
"2021-07-23",258.170013,260.25,257.730011,259.829987,322700,258.020111
"2021-07-26",256.670013,260,255.869995,259.73999,298500,257.930756
"2021-07-27",259.160004,265.23999,258.630005,264.23999,503900,262.399384
"2021-07-28",264.410004,267.079987,262.329987,266.029999,580100,264.176941
"2021-07-29",266.940002,269.980011,266.119995,269.730011,284300,267.851196
"2021-07-30",268.959991,272.75,267.799988,271.799988,350300,269.906738
"2021-08-02",269,270.730011,265.480011,268.630005,559200,266.75885
"2021-08-03",269.380005,273.170013,267.420013,273.089996,476500,271.187775
"2021-08-04",274.190002,277.48999,272.679993,273.190002,515700,271.287109
"2021-08-05",273.109985,273.109985,263.200012,267.380005,953900,265.517548
"2021-08-06",272,276.980011,267.940002,274.690002,718200,272.776611
"2021-08-09",275.089996,278.790009,273.899994,277.970001,519200,276.033783
