"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2021-05-03",119.410004,119.900002,118.809998,119.059998,697200,116.313148
"2021-05-04",118.169998,119.220001,117.519997,119.040001,870300,116.293602
"2021-05-05",120.279999,121.970001,118.300003,121.830002,1061500,119.019241
"2021-05-06",113.440002,117.769997,111.239998,117.419998,2553900,114.710983
"2021-05-07",117.599998,120.540001,117.18,120.410004,1178800,117.632004
"2021-05-10",121.919998,122.5,118.230003,118.360001,844000,115.629295
"2021-05-11",116.610001,117.540001,115.43,117.139999,832900,114.437431
"2021-05-12",116.610001,117.410004,114.720001,114.949997,568600,112.297966
"2021-05-13",115,116.690002,114.82,116.269997,450000,113.587509
"2021-05-14",117.239998,118.610001,116.839996,118.190002,431300,115.463226
"2021-05-17",118.019997,118.779999,117,118.419998,413700,115.687912
"2021-05-18",117.980003,119.139999,117.660004,117.669998,770100,114.955215
"2021-05-19",116.410004,117.440002,115.239998,116.540001,563800,113.851288
"2021-05-20",116.550003,116.839996,115.730003,116.32,577000,113.636368
"2021-05-21",117.269997,118.029999,116.709999,116.879997,446600,114.183441
"2021-05-24",117.839996,117.940002,116.510002,116.739998,612700,114.046669
"2021-05-25",116.82,117.699997,115.459999,115.550003,462300,112.884132
"2021-05-26",115.519997,115.82,114.699997,115.400002,482900,112.737579
"2021-05-27",116.5,116.68,115.690002,116.239998,886700,113.558197
"2021-05-28",116.529999,116.980003,115.379997,116.690002,625900,113.997818
"2021-06-01",118.010002,118.589996,117.029999,118.309998,645700,115.580444
"2021-06-02",118.830002,119,117,117.699997,1299800,114.98452
"2021-06-03",117.110001,117.910004,116.120003,117.849998,643700,115.131065
"2021-06-04",118.040001,118.599998,117.43,118.349998,462800,115.619522
"2021-06-07",118.709999,118.709999,116.699997,118.489998,534700,115.756294
"2021-06-08",118.370003,119.779999,117.830002,119.139999,709900,116.391304
"2021-06-09",119.269997,119.75,118.290001,118.309998,590100,115.580444
"2021-06-10",118.989998,119.290001,118,118.610001,596200,115.873528
"2021-06-11",119.389999,120.25,118.269997,119.419998,519100,116.664841
"2021-06-14",119.419998,119.419998,117.68,118.459999,571400,115.72699
"2021-06-15",118.709999,119.050003,116.980003,118.760002,509300,116.020073
"2021-06-16",118.889999,118.919998,116.870003,117.400002,679400,114.691444
"2021-06-17",117.089996,118.160004,116.269997,118,1173900,115.277588
"2021-06-18",116.43,116.889999,111.919998,112.040001,1592700,109.455116
"2021-06-21",112.910004,114.669998,112.699997,114.139999,719000,111.506653
"2021-06-22",114.43,114.980003,112.879997,114.589996,686800,111.946274
"2021-06-23",115,115.290001,114.019997,114.209999,542100,111.575043
"2021-06-24",112.889999,113.760002,111.720001,112.849998,1331400,110.246414
"2021-06-25",113.739998,113.830002,111.879997,112.010002,990100,109.425797
"2021-06-28",111.839996,111.959999,109.449997,110.089996,912300,107.550087
"2021-06-29",110.25,110.809998,108.699997,109.029999,689600,106.980995
"2021-06-30",108.629997,109.260002,107.75,108.199997,1369900,106.166595
"2021-07-01",108.93,109.480003,108.169998,108.540001,871100,106.500206
"2021-07-02",108.75,108.839996,107.900002,108.529999,708900,106.490387
"2021-07-06",108.230003,108.5,105.389999,106.709999,920600,104.704605
"2021-07-07",106.459999,107.279999,104.5,105.690002,1036400,103.703766
"2021-07-08",104.169998,105.650002,103.559998,105.360001,914600,103.379967
"2021-07-09",106.760002,107.919998,105.529999,107.660004,1313300,105.636749
"2021-07-12",107.110001,109.139999,106.559998,108.769997,1402500,106.725883
"2021-07-13",108.650002,108.830002,106.760002,107.089996,478700,105.077454
"2021-07-14",107.529999,108.620003,107.019997,107.209999,562400,105.195206
"2021-07-15",106.419998,108.150002,106.199997,107.059998,457600,105.048012
"2021-07-16",107.540001,107.599998,104.889999,105.139999,515500,103.164101
"2021-07-19",103.209999,104.089996,102.199997,103.110001,899700,101.172256
"2021-07-20",102.839996,104.400002,102.449997,103.339996,644600,101.397926
"2021-07-21",104.43,105.480003,104.080002,105.260002,828000,103.281845
"2021-07-22",105.410004,105.980003,104.290001,105.879997,513600,103.89019
"2021-07-23",106.349998,106.620003,105.720001,106.349998,511800,104.351364
"2021-07-26",106.099998,106.919998,105.529999,106.629997,602200,104.626099
"2021-07-27",105.940002,106.919998,104.800003,106.230003,412600,104.233612
"2021-07-28",106.43,107.150002,105.620003,106.849998,433600,104.841972
"2021-07-29",107.779999,107.959999,106.730003,106.919998,774000,104.910645
"2021-07-30",106.889999,107.93,106.120003,106.949997,763300,104.940079
"2021-08-02",107.279999,108.220001,105.82,106.599998,821200,104.596672
"2021-08-03",106.809998,107.18,105.040001,106.779999,745400,104.773285
"2021-08-04",105.349998,106.800003,98.580002,98.629997,1727300,96.776443
"2021-08-05",97.980003,98.660004,92.849998,93.230003,3454100,91.477928
"2021-08-06",93.589996,95.699997,93.5,95.309998,2269400,93.518829
"2021-08-09",95.610001,96.440002,94.389999,95.949997,914000,94.146797
"2021-08-10",96.050003,97.339996,95.489998,95.5,1041200,93.705261
"2021-08-11",95.93,96.449997,95.260002,96.190002,945600,94.382301
"2021-08-12",95.550003,96.239998,94.32,94.970001,1050500,93.185226
"2021-08-13",94.889999,95.769997,94.150002,94.32,491400,92.547447
"2021-08-16",93.540001,94,92.370003,92.800003,806400,91.056015
"2021-08-17",92.239998,92.300003,90.419998,92.099998,1237000,90.369164
"2021-08-18",92.400002,92.459999,90.849998,91.349998,1067800,89.633255
"2021-08-19",90.480003,91.269997,87.330002,88.550003,1270500,86.88588
"2021-08-20",88.449997,88.959999,87.32,87.769997,697400,86.120537
"2021-08-23",88.220001,89.599998,87.269997,89.089996,1185200,87.415726
"2021-08-24",89.75,91.07,89.650002,90.75,1199400,89.044533
"2021-08-25",91.019997,93.309998,90.650002,92.900002,1278700,91.154137
"2021-08-26",93.5,94.290001,93.040001,93.599998,1358100,91.840973
"2021-08-27",93.349998,94.019997,93.019997,93.07,958200,91.320938
"2021-08-30",93.32,94.190002,93.300003,93.32,1323300,91.566231
"2021-08-31",93.410004,94.080002,92.800003,93.629997,1601400,91.870407
"2021-09-01",93.650002,94.769997,92.959999,94.389999,702000,92.616127
"2021-09-02",94.989998,97.129997,94.690002,96.660004,1024100,94.843468
"2021-09-03",96.510002,97.379997,95.260002,95.279999,937200,93.489395
"2021-09-07",95.059998,96.300003,94.519997,95.650002,1146300,93.852448
"2021-09-08",95.620003,98.599998,94.860001,96.949997,2030700,95.128006
"2021-09-09",96.25,98.540001,96.129997,97.5,1300100,95.667679
"2021-09-10",98.260002,99.080002,97.510002,98.120003,1171000,96.276031
"2021-09-13",98.879997,98.970001,97.57,98.519997,981000,96.668503
"2021-09-14",98.639999,99.099998,96.57,96.849998,824100,95.029892
"2021-09-15",96.849998,98.019997,96.25,97.769997,1124300,95.932602
"2021-09-16",97.57,98.110001,96.809998,97.370003,854900,95.540115
"2021-09-17",96.199997,96.940002,94.080002,95.190002,3590800,93.401085
"2021-09-20",93.089996,94.75,92.809998,94.519997,1272300,92.743683
"2021-09-21",95.059998,95.209999,93.160004,93.309998,1149600,91.556412
"2021-09-22",94.300003,94.699997,93.160004,94.040001,943500,92.272705
"2021-09-23",94.709999,95.629997,94.400002,94.489998,722800,92.714249
"2021-09-24",94.309998,94.830002,93.980003,94.139999,948100,92.370827
"2021-09-27",94.660004,96.410004,94.370003,95.440002,857000,93.646393
"2021-09-28",95.809998,96.160004,93.879997,93.900002,1174100,92.135338
"2021-09-29",93.309998,93.769997,92.980003,93.239998,1521000,91.957809
"2021-09-30",93.459999,93.650002,91.559998,91.559998,2015000,90.300903
"2021-10-01",92.139999,92.440002,90.889999,92.25,1781100,90.981415
"2021-10-04",92.25,92.779999,89.25,90.879997,1859700,89.630257
"2021-10-05",90.970001,92.989998,90.07,92.769997,1098200,91.494263
"2021-10-06",90.160004,90.459999,88.129997,89.589996,1568500,88.357994
"2021-10-07",90.260002,91.449997,89.650002,89.870003,777700,88.634155
"2021-10-08",89.889999,90.510002,89,89.07,892600,87.845146
"2021-10-11",88.870003,89.730003,88.220001,88.25,965700,87.036423
"2021-10-12",88.519997,88.949997,87.419998,87.809998,934700,86.602478
"2021-10-13",88.349998,89.089996,87.550003,88.400002,977400,87.184372
"2021-10-14",89.290001,91.57,88.870003,91.529999,1045400,90.271317
"2021-10-15",92.379997,93.5,91.5,92.449997,718700,91.178673
"2021-10-18",92.599998,92.690002,91.68,92.050003,564900,90.784172
"2021-10-19",92.5,92.5,90.879997,92.18,676300,90.912376
"2021-10-20",92.040001,93.309998,91.540001,92.93,575300,91.652069
"2021-10-21",92.709999,93.93,92.440002,93.639999,795600,92.35231
"2021-10-22",93.68,94.970001,92.809998,92.970001,502700,91.691528
"2021-10-25",93.519997,93.959999,92.709999,93.239998,566500,91.957809
"2021-10-26",93.660004,94,92.669998,92.699997,554500,91.425224
"2021-10-27",92.489998,92.529999,91.290001,91.589996,637300,90.330498
"2021-10-28",91.779999,93.720001,91.620003,92.82,683800,91.543587
"2021-10-29",92.690002,92.870003,90.440002,91.010002,714300,89.758476
"2021-11-01",91.559998,93.57,90.860001,93.470001,934500,92.184647
"2021-11-02",93.510002,94.190002,92.080002,93.419998,840300,92.135338
"2021-11-03",97.120003,106.879997,97.120003,105.209999,3355900,103.763199
"2021-11-04",106.669998,106.669998,103.830002,104.349998,1396000,102.915031
"2021-11-05",104.879997,106.860001,104.040001,106.629997,933800,105.163673
