"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2021-08-19",215.399994,216.149994,212.820007,214.889999,700400,213.244553
"2021-08-20",214.630005,215.550003,212.949997,214.899994,621700,213.254456
"2021-08-23",215.990005,216.399994,212.919998,213.229996,455400,211.59726
"2021-08-24",212.960007,215.770004,212.559998,213.639999,299000,212.00412
"2021-08-25",213.690002,216.470001,212.910004,216.029999,449900,214.375809
"2021-08-26",216.119995,216.119995,212.419998,212.630005,305700,211.001846
"2021-08-27",213.089996,216,212.229996,213.610001,368500,211.974335
"2021-08-30",213.860001,215.800003,213.229996,214.619995,276800,212.976608
"2021-08-31",214.669998,215.580002,213.339996,215.009995,487900,213.363617
"2021-09-01",215.479996,217.580002,213.869995,217.190002,344400,215.526917
"2021-09-02",218.139999,219.149994,217.279999,218.070007,350100,216.829483
"2021-09-03",218.199997,218.649994,215.220001,217.820007,470500,216.580902
"2021-09-07",216.669998,217.059998,213.130005,214.389999,447800,213.17041
"2021-09-08",214.570007,216.860001,214.410004,216.770004,251500,215.53688
"2021-09-09",217.110001,217.389999,212.479996,213.119995,404600,211.907639
"2021-09-10",213.649994,213.940002,209.580002,209.710007,472500,208.517044
"2021-09-13",211.380005,211.699997,208.339996,210.199997,423800,209.004242
"2021-09-14",211.639999,216.360001,211.339996,215.940002,553800,214.711609
"2021-09-15",215.550003,218.229996,213.889999,214.960007,527800,213.737183
"2021-09-16",214.929993,216.309998,213,215.419998,484700,214.19455
"2021-09-17",213.610001,215.880005,212,215.089996,1639900,213.866425
"2021-09-20",213.080002,214.529999,210.699997,212.520004,506800,211.311066
"2021-09-21",214.210007,215.399994,211.309998,212.119995,489700,210.91333
"2021-09-22",213.179993,216.130005,212.070007,215.710007,349700,214.48291
"2021-09-23",216.5,221.059998,216.5,220.360001,520100,219.106445
"2021-09-24",220.039993,220.990005,219.070007,220.210007,286300,218.957306
"2021-09-27",219.419998,219.710007,213.259995,215.020004,312100,213.796829
"2021-09-28",213.059998,214.039993,209.779999,210.529999,460400,209.332367
"2021-09-29",210.5,211.880005,207.429993,209.110001,385600,207.920441
"2021-09-30",209.759995,210.539993,204.25,204.279999,441000,203.11792
"2021-10-01",205.160004,208.970001,202.029999,207.600006,495300,206.419052
"2021-10-04",206.330002,208.169998,203.919998,206.020004,573700,204.848022
"2021-10-05",206.970001,210.220001,206.220001,207.619995,645800,206.438919
"2021-10-06",206.389999,212.880005,205.339996,212.199997,604300,210.992874
"2021-10-07",213.940002,217.929993,213.320007,217.330002,630000,216.093674
"2021-10-08",217.679993,219.539993,217.509995,219.490005,614300,218.241409
"2021-10-11",220,222.020004,218.899994,221.539993,820000,220.279724
"2021-10-12",222.270004,223.899994,217.429993,218.210007,630900,216.968689
"2021-10-13",217.910004,221.020004,217.050003,220.050003,486000,218.798218
"2021-10-14",221.880005,225.380005,221.880005,224.190002,473900,222.914658
"2021-10-15",225.130005,225.660004,222.75,225.089996,340500,223.80954
"2021-10-18",224.160004,224.600006,221.580002,223.199997,309700,221.930298
"2021-10-19",224.740005,229.419998,224.740005,227.029999,356900,225.73851
"2021-10-20",227.320007,229.169998,223.149994,226.110001,739900,224.823746
"2021-10-21",226.800003,232.529999,225.130005,232.279999,442900,230.958649
"2021-10-22",231.889999,235.449997,231.889999,235.309998,361300,233.971405
"2021-10-25",235.460007,237.100006,234.089996,235.369995,395300,234.031067
"2021-10-26",237.199997,237.270004,234.009995,235.360001,316900,234.021118
"2021-10-27",234.960007,234.960007,231.179993,232.110001,313000,230.789612
"2021-10-28",232.710007,234.979996,231.559998,232.940002,302400,231.614883
"2021-10-29",232.589996,234.330002,229.759995,233.740005,475600,232.410339
"2021-11-01",234.850006,236.410004,234.270004,235.779999,397000,234.438736
"2021-11-02",235.789993,237,234.75,236.729996,558300,235.383316
"2021-11-03",236,236,222.300003,222.720001,857000,221.453033
"2021-11-04",223.970001,226.360001,220.860001,222.240005,584900,220.975769
"2021-11-05",221.380005,226.320007,221.380005,224.580002,340700,223.30246
"2021-11-08",225,230.300003,224.949997,230.009995,312300,228.701553
"2021-11-09",229.320007,232.279999,227.860001,228.990005,416600,227.687363
"2021-11-10",229.309998,232.220001,227.830002,231.960007,381400,230.640472
"2021-11-11",231.75,231.990005,228.699997,231.520004,234600,230.202957
"2021-11-12",232.419998,232.419998,228.419998,231.550003,525100,230.232803
"2021-11-15",231.699997,233.479996,230,232.380005,356200,231.058075
"2021-11-16",232.949997,237.350006,231.949997,236.279999,517300,234.935883
"2021-11-17",236.619995,236.720001,230.5,231.550003,636000,230.232803
