"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2021-05-20",64.809998,65.059998,63.990002,64.459999,3877300,62.562443
"2021-05-21",64.760002,65.379997,64.389999,64.709999,4852800,62.80508
"2021-05-24",64.910004,65.599998,64.660004,65.370003,3420000,63.445663
"2021-05-25",65.610001,66.120003,63.919998,64.019997,5372900,62.135391
"2021-05-26",64.43,64.440002,63.41,64.269997,5634000,62.378033
"2021-05-27",65.220001,65.790001,64.629997,65.660004,6816400,63.727116
"2021-05-28",65.860001,66,64.489998,65.360001,3860700,63.435947
"2021-06-01",66.269997,66.959999,66.110001,66.510002,5115800,64.552094
"2021-06-02",66.870003,66.889999,65.879997,66.089996,3967400,64.144455
"2021-06-03",65.779999,66.849998,65.650002,66.370003,4214800,64.416222
"2021-06-04",66.370003,66.57,65.800003,66.559998,3156000,64.600624
"2021-06-07",66.669998,66.699997,65.919998,66.209999,2835200,64.260925
"2021-06-08",65.730003,66.269997,64.959999,66.040001,3482400,64.09594
"2021-06-09",65.68,65.75,64.650002,64.68,3505300,62.775967
"2021-06-10",65.580002,65.75,63.869999,63.889999,4313100,62.00922
"2021-06-11",64.099998,64.370003,63.84,64.110001,3424200,62.222752
"2021-06-14",63.950001,64.440002,63.09,63.310001,4529200,61.446297
"2021-06-15",63.48,64.309998,63.169998,63.77,5691800,61.892754
"2021-06-16",63.419998,64.25,62.630001,63.709999,6469700,61.834522
"2021-06-17",64.050003,64.139999,59.740002,60.25,8559700,58.476376
"2021-06-18",58.880001,59.490002,57.860001,58.299999,11838900,56.583778
"2021-06-21",58.689999,59.810001,58.689999,59.68,6101100,57.923157
"2021-06-22",59.610001,59.720001,58.759998,59.27,8709300,57.525227
"2021-06-23",59.470001,59.740002,59.220001,59.25,3749400,57.50581
"2021-06-24",59.529999,60.259998,59.189999,60.009998,3844700,58.243439
"2021-06-25",60.380001,61.299999,60.099998,61.02,5297800,59.223709
"2021-06-28",60.849998,60.919998,59.639999,59.75,4717600,57.991093
"2021-06-29",60.349998,60.869999,59.27,59.48,4718100,57.729042
"2021-06-30",59.169998,59.959999,59.169998,59.849998,5248500,58.088154
"2021-07-01",60.299999,60.73,59.970001,60.509998,4194600,58.728722
"2021-07-02",60.259998,60.580002,60.060001,60.419998,3179300,58.641373
"2021-07-06",60.279999,60.279999,58.470001,58.900002,9096100,57.166115
"2021-07-07",58.34,59.259998,58.299999,58.84,7788000,57.107887
"2021-07-08",57.259998,57.720001,56.450001,56.689999,10451900,55.021172
"2021-07-09",57.700001,59.139999,57.610001,58.860001,6521700,57.127293
"2021-07-12",58.75,59.630001,58.09,59.560001,4042000,57.80669
"2021-07-13",59.509998,59.580002,58.43,58.68,3938300,56.952595
"2021-07-14",58.849998,59.400002,57.779999,58.240002,3340500,56.525551
"2021-07-15",57.709999,59.02,57.490002,58.639999,3609200,56.913769
"2021-07-16",58.880001,59.040001,57.32,57.580002,4785700,55.884979
"2021-07-19",55.950001,56.360001,55.209999,55.860001,5344400,54.215607
"2021-07-20",55.650002,58.23,55.549999,57.700001,4917000,56.001442
"2021-07-21",58.509998,59.669998,58.389999,58.990002,5221400,57.253468
"2021-07-22",59.009998,59.119999,57.630001,57.810001,3809700,56.108208
"2021-07-23",58.200001,58.509998,57.439999,57.630001,4870400,55.933506
"2021-07-26",57.77,58.43,57.509998,58.049999,3204600,56.341141
"2021-07-27",57.080002,58.130001,56.869999,57.740002,3646500,56.040272
"2021-07-28",58.029999,58.16,56.77,57.639999,3801100,55.943207
"2021-07-29",58.48,58.75,57.889999,58.23,3097700,56.515842
"2021-07-30",57.889999,58.68,57.439999,57.700001,4045200,56.001442
"2021-08-02",58.080002,59.16,57.540001,57.830002,3782400,56.127617
"2021-08-03",58.110001,58.330002,56.689999,58.290001,3169200,56.574074
"2021-08-04",57.439999,58.080002,56.959999,57.130001,4924700,55.448223
"2021-08-05",58.490002,59.330002,58.169998,58.84,5779500,57.107887
"2021-08-06",59.939999,61.009998,59.82,60.709999,8175700,58.922832
"2021-08-09",60.200001,61.110001,59.669998,60.459999,4281900,59.147842
"2021-08-10",60.369999,62.259998,60.369999,61.73,7480600,60.390282
"2021-08-11",62.049999,63.029999,61.470001,62.599998,5571700,61.241398
"2021-08-12",62.75,62.959999,62.23,62.669998,3456800,61.309879
"2021-08-13",62.82,62.990002,62.389999,62.490002,3286900,61.133789
"2021-08-16",62.099998,62.139999,61.220001,61.98,3560300,60.634853
"2021-08-17",61.380001,61.98,60.869999,61.470001,4158200,60.135925
"2021-08-18",61.169998,62.07,60.900002,60.970001,3066000,59.646778
"2021-08-19",60.049999,60.849998,59.779999,60.279999,3677900,58.971748
"2021-08-20",60.259998,60.669998,59.939999,60.509998,2990900,59.196754
"2021-08-23",61,61.560001,60.93,61.169998,2856800,59.84243
"2021-08-24",61.310001,61.869999,61.119999,61.689999,2351600,60.351147
"2021-08-25",62.029999,63.080002,61.669998,62.470001,2940400,61.11422
"2021-08-26",62.580002,62.669998,61.630001,61.790001,2659200,60.448978
"2021-08-27",62.110001,62.919998,61.860001,62.77,4220800,61.407711
"2021-08-30",62.959999,62.98,61.630001,61.869999,2845200,60.527241
"2021-08-31",61.73,62.549999,61.52,62,5289200,60.654419
"2021-09-01",62.02,62.200001,61.099998,61.310001,4775900,59.979397
"2021-09-02",61.59,61.939999,61.27,61.66,5661100,60.321796
"2021-09-03",61.700001,61.959999,60.880001,61.220001,3608900,59.89135
"2021-09-07",61.23,61.73,60.830002,60.880001,5388000,59.558727
"2021-09-08",60.740002,61.080002,60.380001,60.98,3579400,59.656555
"2021-09-09",60.810001,62.119999,60.720001,61.029999,4552300,59.705471
"2021-09-10",61.630001,61.740002,60.689999,60.77,4545100,59.451115
"2021-09-13",61.41,61.900002,60.98,61.790001,3768800,60.448978
"2021-09-14",62.18,62.25,60.52,60.779999,4449900,59.460899
"2021-09-15",60.959999,62.299999,60.830002,62.07,5889300,60.7229
"2021-09-16",62.310001,62.82,61.720001,62.220001,4664700,60.869648
"2021-09-17",61.84,62.869999,61.540001,61.720001,9183000,60.380501
"2021-09-20",59.900002,60.029999,58.349998,59.310001,9661800,58.022804
"2021-09-21",59.799999,59.889999,58.139999,58.470001,6235000,57.201031
"2021-09-22",59.459999,59.959999,59.330002,59.450001,5198600,58.159763
"2021-09-23",59.919998,61.849998,59.919998,61.259998,4594400,59.930481
"2021-09-24",61.400002,62.240002,61.23,61.360001,4351400,60.028313
"2021-09-27",62.209999,64.07,62.200001,63.610001,5220000,62.229481
"2021-09-28",63.669998,64.279999,62.669998,62.790001,4909100,61.427277
"2021-09-29",63.029999,63.139999,62.52,62.580002,3780000,61.221836
"2021-09-30",63.110001,63.110001,61.52,61.73,6132900,60.390282
"2021-10-01",61.849998,63.130001,61.619999,62.52,4391700,61.163132
"2021-10-04",62.419998,63.630001,62.240002,62.369999,4950300,61.016388
"2021-10-05",62.740002,64.5,62.099998,64.269997,6076300,62.875149
"2021-10-06",63.43,64.330002,62.98,63.98,4418300,62.59145
"2021-10-07",64.550003,65.07,64.209999,64.550003,4596300,63.149078
"2021-10-08",65.139999,65.220001,64.610001,64.989998,3559300,63.579525
"2021-10-11",65.25,66.120003,64.989998,65.120003,4637500,63.706707
"2021-10-12",64.919998,65.480003,64.510002,64.779999,3162000,63.374084
"2021-10-13",64.529999,64.720001,63.119999,64.150002,3868600,62.757763
"2021-10-14",65.139999,65.669998,64.559998,65.519997,3253600,64.098022
"2021-10-15",66.18,66.5,65.330002,65.57,3036000,64.146942
"2021-10-18",65.309998,65.720001,65.010002,65.199997,1958600,63.784973
"2021-10-19",65.93,65.970001,65.489998,65.690002,2122100,64.264336
"2021-10-20",65.480003,66.860001,65.32,66.599998,3527900,65.154587
"2021-10-21",66.290001,66.650002,65.410004,65.809998,2199800,64.381737
"2021-10-22",66.059998,66.410004,65.300003,65.870003,3902700,64.44043
"2021-10-25",66.059998,66.18,65.550003,65.639999,2437300,64.215431
"2021-10-26",65.989998,66.230003,65.330002,65.459999,3035500,64.03933
"2021-10-27",65.309998,65.75,64.209999,64.290001,4439300,62.894722
"2021-10-28",64.489998,65.290001,64.379997,65.269997,2612200,63.853447
"2021-10-29",65.419998,65.57,62.41,62.799999,8402400,61.437061
"2021-11-01",63.34,64.190002,63.040001,64.150002,3966100,62.757763
"2021-11-02",63.990002,64.720001,63.41,63.689999,4376500,62.307743
"2021-11-03",63.450001,66.139999,63.130001,65.279999,7596500,63.863232
"2021-11-04",65.339996,65.339996,61.830002,63.91,5993200,62.522968
"2021-11-05",64.589996,65.620003,63.759998,63.990002,4402600,62.601231
"2021-11-08",64.019997,64.629997,63.580002,63.740002,4461400,62.827946
"2021-11-09",63.259998,63.740002,62.689999,62.970001,4067100,62.068962
"2021-11-10",63.259998,64.400002,63.099998,63.349998,3826400,62.44352
"2021-11-11",63.369999,64.32,63.150002,63.630001,3124000,62.719517
"2021-11-12",63.68,64.190002,63.369999,64.190002,4084800,63.271503
"2021-11-15",64.410004,64.610001,63.970001,64.150002,5986800,63.232079
"2021-11-16",64.339996,64.779999,63.369999,63.41,4817700,62.502663
"2021-11-17",63.200001,64.029999,63.110001,63.130001,4542300,62.226669
"2021-11-18",63.18,63.419998,61.869999,62.66,4294900,61.763393
"2021-11-19",61.52,61.68,60.290001,61.150002,7402400,60.275005
"2021-11-22",62.389999,63.279999,61.299999,62.509998,4575700,61.615543
"2021-11-23",63.139999,63.880001,62.779999,63.360001,4347300,62.453381
"2021-11-24",63.07,63.529999,62.5,62.630001,4469600,61.733826
"2021-11-26",59.880001,60.439999,58.650002,60.099998,4296900,59.240028
"2021-11-29",60.889999,61.049999,59.27,59.889999,5064700,59.033031
"2021-11-30",59.130001,59.279999,58.240002,58.66,12405500,57.820633
"2021-12-01",59.560001,59.959999,57.049999,57.110001,9280500,56.292812
"2021-12-02",57.75,59.84,57.630001,59.330002,6069600,58.481049
"2021-12-03",59.790001,60.029999,58.93,59.419998,6035900,58.569756
"2021-12-06",60.27,60.790001,59.630001,59.669998,4873400,58.816177
"2021-12-07",60.099998,61.200001,59.84,60.529999,4464000,59.663872
"2021-12-08",60.759998,61.290001,60.599998,60.619999,3485100,59.752583
"2021-12-09",60.200001,61.310001,59.950001,60.880001,2761600,60.008865
"2021-12-10",61.299999,61.459999,60.52,60.630001,3954000,59.762444
"2021-12-13",60.5,60.630001,59.790001,59.869999,5531900,59.013317
"2021-12-14",59.84,61.290001,59.84,60.799999,4533600,59.930008
"2021-12-15",60.900002,61.119999,59.779999,60.82,3486300,59.949722
"2021-12-16",61.669998,62.349998,61.040001,61.389999,4070900,60.511566
"2021-12-17",61.209999,61.220001,59.799999,60.25,8229700,59.387878
"2021-12-20",59.360001,59.360001,57.57,58.59,5890800,57.751633
"2021-12-21",59.290001,60.919998,59.23,60.32,4137100,59.456879
"2021-12-22",60.27,61.16,60.18,60.880001,2880600,60.008865
"2021-12-23",61.23,62.119999,61.23,61.779999,3307200,60.895985
"2021-12-27",61.959999,62.580002,61.630001,62.490002,2954100,61.595829
"2021-12-28",62.349998,63.299999,62.310001,62.610001,3663000,61.714115
"2021-12-29",62.610001,63.080002,62.400002,62.68,2140400,61.783112
"2021-12-30",62.869999,63.32,62.52,62.580002,2233100,61.684544
"2021-12-31",62.32,62.889999,62.299999,62.490002,2172700,61.595829
"2022-01-03",62.939999,64.010002,62.900002,63.23,3895900,62.325237
"2022-01-04",64.18,65.43,63.93,64.940002,4496900,64.010773
"2022-01-05",66.139999,66.389999,64.540001,64.629997,4759400,63.705208
