"","O.Open","O.High","O.Low","O.Close","O.Volume","O.Adjusted"
"2022-01-31",68.629997,69.440002,68.290001,69.410004,4353700,67.959236
"2022-02-01",69.029999,69.519997,68.650002,69.129997,3264300,67.685089
"2022-02-02",68.989998,70.019997,68.620003,69.800003,3400900,68.34108
"2022-02-03",69.5,69.529999,68.599998,68.669998,2299800,67.234695
"2022-02-04",68.400002,68.809998,67.730003,68.190002,3705200,66.764732
"2022-02-07",68.099998,68.739998,67.900002,68.040001,2636500,66.617867
"2022-02-08",67.989998,68.139999,67.32,67.550003,3039200,66.138115
"2022-02-09",68.160004,68.779999,68.07,68.559998,2224900,67.126991
"2022-02-10",67.790001,68.739998,66.910004,67.239998,3162100,65.834595
"2022-02-11",67.529999,68.220001,66.790001,67.489998,3795300,66.079361
"2022-02-14",67.339996,67.690002,66.580002,66.889999,3771800,65.491913
"2022-02-15",67.489998,67.839996,66.889999,67.050003,3069800,65.648575
"2022-02-16",67.199997,67.639999,66.720001,67.440002,3651400,66.030411
"2022-02-17",66.959999,67.410004,66.559998,67.120003,3543000,65.717102
"2022-02-18",67.110001,67.620003,66.550003,66.629997,3611100,65.237343
"2022-02-22",66.459999,66.690002,65.589996,66.040001,3521000,64.659676
"2022-02-23",67.089996,67.18,65.209999,65.25,3725100,63.886177
