"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2021-11-01",213.490005,215.25,211.449997,212.460007,13210300,211.338516
"2021-11-02",213.160004,213.350006,207.820007,209.139999,14688700,208.036041
"2021-11-03",209.690002,210.149994,206.729996,208.100006,11486700,207.001526
"2021-11-04",209.160004,212.360001,207.869995,208.779999,11368200,207.677933
"2021-11-05",211.949997,217.630005,211.360001,216.669998,14273600,215.526291
"2021-11-08",218.369995,221.610001,218.149994,220.490005,13500100,219.326126
"2021-11-09",219.690002,220.410004,212.919998,213.389999,11535000,212.263596
"2021-11-10",213.550003,216.949997,213.330002,215.559998,10063600,214.799622
"2021-11-11",216.470001,216.779999,210.160004,210.419998,13546900,209.67775
"2021-11-12",211.5,213.580002,211.429993,212.089996,7660500,211.341858
"2021-11-15",213.619995,216.399994,211.809998,212.300003,9596900,211.551117
"2021-11-16",212.160004,215.649994,211.660004,215.179993,8719600,214.420959
"2021-11-17",205.949997,207.309998,199.460007,205.059998,38379600,204.336655
"2021-11-18",206.5,207.869995,201.270004,203.330002,18292200,202.612762
"2021-11-19",202.039993,203.5,199.850006,200.860001,18032600,200.151474
"2021-11-22",200,201.699997,194.600006,195.580002,21185800,194.890091
"2021-11-23",196.970001,198.919998,194.380005,198.490005,14742700,197.789841
"2021-11-24",198.169998,203.949997,197.639999,203.25,12026800,202.533035
"2021-11-26",193.320007,199.190002,192.550003,197.649994,10987600,196.952789
"2021-11-29",201,201.25,195.360001,196.289993,14633500,195.597595
"2021-11-30",195.270004,197.660004,192.559998,193.770004,16023000,193.086487
"2021-12-01",196.029999,196.809998,190.100006,190.160004,13204900,189.489212
"2021-12-02",192,199.440002,191.850006,198.289993,13976300,197.59053
"2021-12-03",198.270004,198.470001,194.039993,196.320007,10660500,195.627502
"2021-12-06",198.770004,204.220001,197.740005,202.679993,10722100,201.965042
"2021-12-07",206,207.940002,205.889999,207.369995,11897200,206.638504
"2021-12-08",207.660004,209.479996,205.710007,208.990005,11749200,208.252808
"2021-12-09",208.520004,212.199997,207.169998,211.389999,10176800,210.644333
"2021-12-10",211.899994,214.25,210.860001,213.399994,8882700,212.647232
"2021-12-13",212.449997,213.320007,209.979996,211.020004,8844300,210.275635
"2021-12-14",210.729996,213.369995,208.449997,209.979996,9832300,209.239288
"2021-12-15",209.399994,212.490005,207.860001,212.309998,10892500,211.561081
"2021-12-16",215.289993,216.270004,211.610001,214.369995,8548400,213.613815
"2021-12-17",212.800003,213.210007,207.789993,211.880005,11578400,211.132614
"2021-12-20",209.089996,209.770004,206.860001,208.740005,9434400,208.003677
"2021-12-21",210.610001,216.160004,210.360001,215.380005,6993700,214.62027
"2021-12-22",213.850006,218.940002,213.850006,217.960007,6003400,217.191162
"2021-12-23",218.440002,218.520004,216.619995,216.619995,4798200,215.855881
"2021-12-27",217.679993,218.119995,214.880005,217.630005,4818400,216.862335
"2021-12-28",216.009995,219.729996,215.580002,218.050003,4279800,217.280838
"2021-12-29",217.759995,218.940002,217.330002,218.169998,3223100,217.400406
"2021-12-30",217.970001,219.149994,217.149994,217.869995,3812800,217.101471
"2021-12-31",216.809998,217.979996,215.490005,216.710007,4723300,215.945557
