"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2021-06-21",59.330002,61.169998,59.150002,61.049999,4657900,59.116711
"2021-06-22",60.740002,61.689999,60.380001,61.34,4246900,59.397526
"2021-06-23",62.060001,62.849998,61.529999,61.549999,3538800,59.600876
"2021-06-24",62,62.5,61.439999,62.34,2646000,60.365856
"2021-06-25",62.48,62.73,61.709999,62.549999,9623100,60.56921
"2021-06-28",62.400002,62.529999,60.41,60.5,6040700,58.584129
"2021-06-29",60.919998,61.119999,60.009998,60.080002,3630100,58.177429
"2021-06-30",60.299999,60.849998,60.040001,60.419998,3822200,58.506657
"2021-07-01",61.450001,61.779999,60.82,61.27,4013900,59.329742
"2021-07-02",61.5,61.5,60.389999,61.07,4312200,59.136074
"2021-07-06",60.810001,60.98,58.799999,58.970001,9406400,57.102577
"2021-07-07",58.799999,59.18,57.32,57.950001,4186500,56.11488
"2021-07-08",56.75,57.91,56.380001,57.450001,6898600,55.630714
"2021-07-09",58.07,58.75,57.18,58.68,5776200,56.821762
"2021-07-12",58.139999,59.169998,57.619999,58.330002,4943600,56.482845
"2021-07-13",57.970001,58.16,57.16,57.400002,4934900,55.582298
"2021-07-14",57.220001,57.84,55.02,55.119999,7799800,53.374496
"2021-07-15",54.599998,55.169998,54.02,54.25,7348800,52.532051
"2021-07-16",54.68,54.830002,53.139999,53.259998,6763600,51.573399
"2021-07-19",51.369999,51.790001,50.189999,50.880001,10787800,49.268768
"2021-07-20",51.07,52.27,50.459999,52.119999,5664600,50.469498
"2021-07-21",52.959999,54.509998,52.93,54.080002,5798900,52.367435
"2021-07-22",53.82,53.82,52.790001,53.389999,3179200,51.69928
"2021-07-23",53.200001,53.700001,52.639999,53.43,3058400,51.738018
"2021-07-26",53.830002,54.740002,53.779999,54.66,3948200,52.929066
"2021-07-27",53.990002,54.48,53.610001,54.34,3625600,52.619194
"2021-07-28",54.650002,55.810001,54.139999,55.279999,3196500,53.52943
"2021-07-29",56.110001,56.470001,55.470001,55.93,3210800,54.158848
"2021-07-30",55.5,56.09,54.779999,55.220001,3642500,53.471329
"2021-08-02",55.290001,56.41,54.240002,54.459999,5258600,52.735397
"2021-08-03",54.279999,55.950001,53.66,55.939999,4892500,54.16853
"2021-08-04",54.75,55.919998,54.189999,54.380001,6118000,52.657932
"2021-08-05",55.16,57.330002,55.02,56.490002,7163100,54.701115
"2021-08-06",57.34,57.77,56.450001,57.41,6352500,55.59198
"2021-08-09",56.529999,57.880001,56.450001,57.220001,5451600,55.407993
"2021-08-10",57.700001,58.669998,57.459999,58.48,6051300,56.628094
"2021-08-11",58.299999,59.220001,58.080002,59.139999,4856600,57.267193
"2021-08-12",58.939999,59.580002,58.439999,59.540001,4948000,57.654526
"2021-08-13",59.580002,59.91,59.080002,59.150002,3639800,57.276878
"2021-08-16",58.310001,58.98,57.880001,58.380001,5633000,56.531261
"2021-08-17",57.419998,58.27,56.73,57.099998,5789000,55.846626
"2021-08-18",56.98,57.84,56.209999,56.279999,4414000,55.044624
"2021-08-19",55.439999,55.919998,53.549999,54.23,8185600,53.039623
"2021-08-20",53.639999,54.900002,53.470001,54.77,5964000,53.567768
"2021-08-23",55.939999,56.98,55.790001,56.82,4499600,55.572773
"2021-08-24",57.299999,58.360001,57.040001,57.959999,4597400,56.687748
"2021-08-25",57.91,59.200001,57.5,58.630001,5268500,57.34304
"2021-08-26",58.740002,58.889999,58.009998,58.09,4982600,56.814896
"2021-08-27",58.790001,60.529999,58.790001,60.02,6556000,58.70253
"2021-08-30",60.330002,60.490002,58.869999,58.93,6138900,57.636456
"2021-08-31",58.580002,59.82,58.580002,59.27,6464100,57.968994
"2021-09-01",59.099998,59.41,57.02,57.25,6489000,55.993332
"2021-09-02",57.84,58.669998,57.369999,57.900002,5402400,56.629066
"2021-09-03",57.720001,58.490002,57.5,58.240002,5010200,56.961601
"2021-09-07",58.279999,59.720001,58.060001,58.57,4952400,57.284359
"2021-09-08",58.860001,59.25,57.060001,57.110001,7420200,55.856407
"2021-09-09",56.669998,58.139999,56.509998,57.25,5004800,55.993332
"2021-09-10",58.189999,58.23,56.529999,56.869999,4866400,55.621677
"2021-09-13",57.630001,58.639999,57.580002,58.610001,5885400,57.323483
"2021-09-14",59.32,59.34,57.439999,57.560001,5609100,56.296532
"2021-09-15",58.209999,59.68,58.150002,59.57,6875200,58.262409
"2021-09-16",59.540001,59.720001,58.75,59.099998,4135700,57.802723
"2021-09-17",58.849998,59.540001,58.470001,58.860001,7621100,57.567993
"2021-09-20",57.099998,58.310001,56.080002,57.130001,6919800,55.875965
"2021-09-21",58.040001,58.360001,56.669998,57.84,4525200,56.570385
"2021-09-22",58.810001,60.73,58.509998,59.91,7604000,58.594944
"2021-09-23",59.950001,61.919998,59.759998,61.799999,5851900,60.443459
"2021-09-24",61.34,62.279999,61.009998,61.889999,3860900,60.531487
"2021-09-27",62.990002,63.799999,62.790001,63.09,7532900,61.705147
"2021-09-28",63.84,63.939999,62.32,62.509998,6093500,61.137871
"2021-09-29",62.68,62.68,61.740002,61.93,4963200,60.570606
"2021-09-30",61.970001,63.029999,61.52,61.810001,6531900,60.453239
"2021-10-01",62,63.599998,61.91,63.560001,6868200,62.164829
"2021-10-04",63.919998,64.690002,62.889999,63.02,9084700,61.636677
"2021-10-05",63.41,64.339996,62.150002,63.25,7908100,61.861633
"2021-10-06",62.490002,63.400002,61.439999,62.860001,9077700,61.480194
"2021-10-07",63.52,64.349998,63.369999,63.5,6021800,62.106144
"2021-10-08",64.019997,65.260002,63.919998,65.160004,6424800,63.72971
"2021-10-11",66,66.139999,64.489998,64.559998,4832000,63.142872
"2021-10-12",64.5,65.349998,64.25,64.739998,6470300,63.31892
"2021-10-13",64.300003,65.419998,63.700001,65.260002,5142200,63.827515
"2021-10-14",66.260002,67,65.629997,66.68,6837700,65.216339
"2021-10-15",67.510002,67.919998,66.639999,66.800003,6186200,65.33371
"2021-10-18",67.309998,67.419998,66.040001,66.400002,4911300,64.942482
"2021-10-19",67,67.209999,66.440002,66.830002,4881100,65.363052
"2021-10-20",66,67.349998,65.779999,67.209999,5194900,65.734703
"2021-10-21",66.93,67.989998,66.43,67.029999,5806600,65.558655
"2021-10-22",67.190002,67.629997,66.519997,67.519997,3977800,66.037903
"2021-10-25",68,68.709999,67.580002,68.199997,4679400,66.702972
