"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2021-06-16",103.720001,103.900002,101.730003,101.809998,3865400,98.024216
"2021-06-17",101.82,103.169998,101.489998,102.419998,3998700,98.611534
"2021-06-18",102.07,102.25,99.510002,99.610001,5190400,95.906013
"2021-06-21",100.089996,101.559998,99.760002,101.309998,3566100,97.542801
"2021-06-22",100.839996,101.470001,100.279999,100.400002,2562000,96.666649
"2021-06-23",100.150002,100.919998,99.080002,99.230003,3997300,95.540154
"2021-06-24",99.230003,99.459999,98.699997,99.07,2448600,95.386101
"2021-06-25",99.360001,99.830002,98.949997,99.720001,3236200,96.011932
"2021-06-28",100,100.730003,99.639999,100.010002,3192800,96.291153
"2021-06-29",99.760002,100.239998,97.68,98.120003,2669200,94.47142
"2021-06-30",98.169998,98.949997,97.68,98.720001,2493300,95.049118
"2021-07-01",98.959999,99.870003,98.349998,99.550003,2406900,95.848259
"2021-07-02",99.739998,99.739998,99.18,99.510002,1779300,95.809746
"2021-07-06",99.589996,99.889999,98.400002,99.830002,3258100,96.117844
"2021-07-07",99.949997,100.559998,99.18,100.370003,2044400,96.637772
"2021-07-08",100.029999,101,99.849998,100.559998,2386200,96.820694
"2021-07-09",100.949997,101.040001,99.900002,100.660004,2676300,96.916985
"2021-07-12",100.220001,101.639999,99.860001,101.529999,2509100,97.754623
"2021-07-13",101.459999,101.849998,100.970001,101.529999,2774400,97.754623
"2021-07-14",101.5,103.040001,100.57,102.699997,2692900,98.881119
"2021-07-15",102.540001,104,102.540001,103.940002,2869100,100.075012
"2021-07-16",104.099998,105.379997,103.809998,104.760002,2758800,100.864517
"2021-07-19",104.410004,105.459999,102.739998,103.889999,5548800,100.026871
"2021-07-20",104.080002,105.419998,103.43,103.739998,2411400,99.882446
"2021-07-21",103.919998,104.099998,103.120003,103.160004,2078100,99.32402
"2021-07-22",103.169998,103.970001,102.760002,102.919998,2948600,99.092926
"2021-07-23",103.059998,104.589996,103.059998,104.470001,1896100,100.585297
"2021-07-26",104.599998,105.050003,103.949997,104.580002,3170100,100.691216
"2021-07-27",104.370003,106.68,104.050003,106.360001,2036000,102.405022
"2021-07-28",106.260002,106.400002,104.75,105.650002,2144700,101.721428
"2021-07-29",105.910004,106.059998,104.970001,105.68,1477900,101.750305
"2021-07-30",105.68,106.709999,104.879997,105.110001,2567700,101.2015
"2021-08-02",105.389999,106.660004,105.160004,106.190002,3392300,102.241348
"2021-08-03",106.410004,107.559998,105.980003,106.610001,2398900,102.645729
"2021-08-04",106.290001,107,105.370003,106.730003,2261800,102.761269
