"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2021-02-16",135.490005,136.009995,132.789993,133.190002,80576300,132.208817
"2021-02-17",131.25,132.220001,129.470001,130.839996,97918500,129.876114
"2021-02-18",129.199997,130,127.410004,129.710007,96856700,128.754456
"2021-02-19",130.240005,130.710007,128.800003,129.869995,87668800,128.913269
"2021-02-22",128.009995,129.720001,125.599998,126,103916400,125.071785
"2021-02-23",123.760002,126.709999,118.389999,125.860001,158273000,124.932808
"2021-02-24",124.940002,125.559998,122.230003,125.349998,111039900,124.426559
"2021-02-25",124.68,126.459999,120.540001,120.989998,148199500,120.098686
"2021-02-26",122.589996,124.849998,121.199997,121.260002,164560400,120.366699
"2021-03-01",123.75,127.93,122.790001,127.790001,116307900,126.848587
"2021-03-02",128.410004,128.720001,125.010002,125.120003,102260900,124.198265
"2021-03-03",124.809998,125.709999,121.839996,122.059998,112966300,121.160797
"2021-03-04",121.75,123.599998,118.620003,120.129997,178155000,119.245018
"2021-03-05",120.980003,121.940002,117.57,121.419998,153766600,120.52552
"2021-03-08",120.93,121,116.209999,116.360001,154376600,115.502785
"2021-03-09",119.029999,122.059998,118.790001,121.089996,129525800,120.197952
"2021-03-10",121.690002,122.169998,119.449997,119.980003,111943300,119.096138
"2021-03-11",122.540001,123.209999,121.260002,121.959999,103026500,121.061531
"2021-03-12",120.400002,121.169998,119.160004,121.029999,88105100,120.138397
"2021-03-15",121.410004,124,120.419998,123.989998,92403800,123.076584
"2021-03-16",125.699997,127.220001,124.720001,125.57,115227900,124.644951
"2021-03-17",124.050003,125.860001,122.339996,124.760002,111932600,123.840912
"2021-03-18",122.879997,123.18,120.32,120.529999,121229700,119.642075
"2021-03-19",119.900002,121.43,119.68,119.989998,185549500,119.106056
"2021-03-22",120.330002,123.870003,120.260002,123.389999,111912300,122.481003
"2021-03-23",123.330002,124.239998,122.139999,122.540001,95467100,121.637268
"2021-03-24",122.82,122.900002,120.07,120.089996,88530500,119.205315
"2021-03-25",119.540001,121.660004,119,120.589996,98844700,119.70163
"2021-03-26",120.349998,121.480003,118.919998,121.209999,94071200,120.317062
"2021-03-29",121.650002,122.580002,120.730003,121.389999,80819200,120.495743
"2021-03-30",120.110001,120.400002,118.860001,119.900002,85671900,119.016716
"2021-03-31",121.650002,123.519997,121.150002,122.150002,118323800,121.250137
"2021-04-01",123.660004,124.18,122.489998,123,75089100,122.09388
"2021-04-05",123.870003,126.160004,123.07,125.900002,88651200,124.972527
"2021-04-06",126.5,127.129997,125.650002,126.209999,80171300,125.280228
"2021-04-07",125.830002,127.919998,125.139999,127.900002,83466700,126.957787
"2021-04-08",128.949997,130.389999,128.520004,130.360001,88844600,129.399658
"2021-04-09",129.800003,133.039993,129.470001,133,106686700,132.020218
"2021-04-12",132.520004,132.850006,130.630005,131.240005,91420000,130.273178
"2021-04-13",132.440002,134.660004,131.929993,134.429993,91266500,133.439682
"2021-04-14",134.940002,135,131.660004,132.029999,87222800,131.057343
"2021-04-15",133.820007,135,133.639999,134.5,89347100,133.509171
"2021-04-16",134.300003,134.669998,133.279999,134.160004,84922400,133.171677
"2021-04-19",133.509995,135.470001,133.339996,134.839996,94264200,133.846649
"2021-04-20",135.020004,135.529999,131.809998,133.110001,94812300,132.12941
"2021-04-21",132.360001,133.75,131.300003,133.5,68847100,132.516541
"2021-04-22",133.039993,134.149994,131.410004,131.940002,84566500,130.968018
"2021-04-23",132.160004,135.119995,132.160004,134.320007,78657500,133.330505
"2021-04-26",134.830002,135.059998,133.559998,134.720001,66905100,133.727554
"2021-04-27",135.009995,135.410004,134.110001,134.389999,66015800,133.399963
"2021-04-28",134.309998,135.020004,133.080002,133.580002,107760100,132.595932
"2021-04-29",136.470001,137.070007,132.449997,133.479996,151101000,132.496689
"2021-04-30",131.779999,133.559998,131.070007,131.460007,109839500,130.491562
"2021-05-03",132.039993,134.070007,131.830002,132.539993,75135100,131.563599
