"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2021-07-08",205.589996,209.160004,205.160004,207.550003,1314200,200.940613
"2021-07-09",207.550003,209.740005,207.179993,209.619995,1134300,202.944702
"2021-07-12",209.270004,210.729996,208.789993,210.240005,1072900,203.544968
"2021-07-13",210.240005,211.679993,208.720001,210.429993,1199500,203.728897
"2021-07-14",210.350006,211.029999,209.570007,210.160004,851900,203.467499
"2021-07-15",209.630005,211.5,209.449997,210.419998,861000,203.719223
"2021-07-16",211.089996,212.070007,208.520004,209.330002,1262300,202.66394
"2021-07-19",204.639999,207.960007,204.639999,206.220001,1063500,199.652969
"2021-07-20",205.770004,209.850006,205.770004,208.580002,1128500,201.93782
"2021-07-21",209.449997,213.330002,209.050003,212,1560600,205.248917
"2021-07-22",211.479996,212.470001,208.529999,209.360001,1024400,202.692978
"2021-07-23",211,212.75,210.470001,211.899994,844000,205.152084
"2021-07-26",211.410004,212.050003,209.589996,210.429993,827800,203.728897
"2021-07-27",210.369995,214.669998,209.039993,211.919998,1062400,205.171463
"2021-07-28",209.779999,215.679993,209.039993,213.429993,1124600,206.633362
"2021-07-29",215.889999,215.949997,211.740005,214.699997,854300,207.86293
"2021-07-30",214.770004,215.5,211.740005,212.130005,979000,205.374756
"2021-08-02",212.139999,213.839996,211.080002,211.5,1306700,204.764832
"2021-08-03",211.5,211.850006,206.669998,208.770004,1165800,202.12178
"2021-08-04",207.529999,209.570007,206.949997,208.5,2170000,201.860367
"2021-08-05",209.25,210.059998,207.050003,208.25,1314200,201.618332
"2021-08-06",209.630005,210.830002,208.679993,209.839996,1629300,203.1577
"2021-08-09",210.360001,210.399994,208.350006,209.110001,767200,202.450943
"2021-08-10",209,209.639999,207.639999,208.929993,975000,202.276657
"2021-08-11",210.649994,210.860001,208.809998,209.070007,800600,202.412216
"2021-08-12",209.350006,209.350006,205.690002,208.380005,1123500,201.744171
"2021-08-13",208.080002,208.220001,206.470001,207.029999,545500,200.437164
"2021-08-16",206.190002,207.360001,204.190002,207.190002,727400,200.592087
"2021-08-17",206.839996,207.490005,204.110001,205.389999,925400,198.849411
"2021-08-18",204.779999,205.139999,196.119995,197.580002,6047100,191.288101
"2021-08-19",196.199997,199,195.899994,198.080002,1443200,191.772186
"2021-08-20",198.949997,200.899994,197.800003,198.360001,1006500,192.043274
"2021-08-23",198.309998,202.080002,198.009995,201.839996,1144700,195.41246
"2021-08-24",202.050003,202.639999,199.710007,200.570007,807100,194.182892
"2021-08-25",200.270004,201.440002,199.509995,200.289993,1051700,193.911804
"2021-08-26",199.979996,201.020004,199.300003,199.339996,633100,192.992035
"2021-08-27",198.720001,200.389999,198.169998,199.860001,1022700,193.495499
"2021-08-30",199.509995,201.600006,198.720001,199.289993,833800,192.943649
"2021-08-31",199.699997,201.940002,199.050003,201.720001,1328700,195.296265
"2021-09-01",200.899994,201.699997,198.949997,199.210007,1490100,192.866196
"2021-09-02",199.320007,199.899994,195.850006,197.619995,1571800,191.326813
"2021-09-03",197.240005,197.429993,195.130005,195.300003,1061600,189.080719
"2021-09-07",194.789993,195.229996,192.600006,193.759995,1076800,187.589752
"2021-09-08",193.770004,194.410004,192.169998,193.75,1122500,187.580093
"2021-09-09",192.320007,193.309998,191.710007,192.460007,1360300,187.200745
"2021-09-10",191.839996,193.210007,189.100006,189.210007,1502700,184.039551
"2021-09-13",191.009995,191.660004,187.960007,189.229996,1597600,184.05899
"2021-09-14",190.800003,191.570007,187.910004,188.850006,1170000,183.689392
"2021-09-15",187.949997,189.270004,187,188.960007,1505500,183.796371
"2021-09-16",189.509995,191.339996,188.639999,188.690002,1273900,183.533768
"2021-09-17",188.110001,189.679993,187.619995,188.649994,1881400,183.494843
"2021-09-20",187.690002,189.179993,185.929993,188.009995,1389000,182.872314
"2021-09-21",188.639999,189.320007,185.789993,185.839996,1299500,180.761627
"2021-09-22",187.690002,189.990005,186.100006,189.330002,1776500,184.156265
"2021-09-23",190.25,194.110001,190.160004,193.479996,1495600,188.192871
"2021-09-24",193.529999,198.539993,192.830002,198.009995,1889300,192.59906
"2021-09-27",198.449997,201.759995,197.509995,198.429993,1687800,193.007584
"2021-09-28",200.220001,200.990005,195.570007,197.889999,1873100,192.482346
"2021-09-29",197.460007,198.029999,195.949997,196.160004,1027600,190.799637
"2021-09-30",197.110001,197.5,193.059998,193.380005,1392900,188.095596
"2021-10-01",194.270004,197.240005,191.610001,196.589996,1254400,191.21788
"2021-10-04",196.070007,198.009995,192.369995,194.710007,1384300,189.389236
"2021-10-05",193.559998,199.490005,193.399994,198.320007,989800,192.900604
"2021-10-06",197.25,198.839996,196.520004,198.720001,946500,193.289658
"2021-10-07",200.729996,202.259995,199.740005,202.110001,1465700,196.587051
"2021-10-08",201.190002,202.339996,198.369995,201.529999,1170300,196.022873
"2021-10-11",202.669998,204.369995,200.940002,201.320007,929300,195.818634
"2021-10-12",201.320007,203.800003,200.919998,202.809998,1077000,197.267883
"2021-10-13",201.789993,204.710007,199.5,204.259995,1540300,198.678284
"2021-10-14",204.419998,207.229996,203.210007,207.050003,1314500,201.392059
"2021-10-15",208,212.610001,207.520004,211.899994,1746600,206.109497
"2021-10-18",211.050003,214.360001,210.679993,213.929993,1524800,208.08403
"2021-10-19",214.770004,217.639999,213.910004,217.559998,1663700,211.614822
"2021-10-20",217.789993,217.789993,213.059998,214.169998,1080400,208.31749
"2021-10-21",215.119995,216,213.710007,214.789993,1204700,208.920517
"2021-10-22",215,218.669998,214.369995,217.949997,1184600,211.994171
"2021-10-25",218,218.619995,216.649994,217.690002,1021200,211.741287
"2021-10-26",217.759995,220.429993,216.649994,219.270004,1331900,213.278107
"2021-10-27",219.5,219.539993,216.240005,217.059998,1526700,211.128494
"2021-10-28",216.369995,219,215.529999,218.339996,1726600,212.373535
"2021-10-29",217.839996,221.429993,217.270004,220.550003,1318300,214.523132
"2021-11-01",221.649994,221.649994,216.5,218.330002,803400,212.3638
"2021-11-02",218.5,221.369995,217.800003,220.600006,984300,214.571762
"2021-11-03",221.179993,222.460007,218.669998,220.440002,753500,214.416138
"2021-11-04",230.139999,230.889999,219.190002,220.570007,1858500,214.542603
"2021-11-05",224.100006,224.559998,220.679993,221.710007,1364100,215.651443
"2021-11-08",222.850006,223.270004,219.5,220.669998,757000,214.639862
