"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2021-04-16",79.559998,80.449997,78.150002,78.690002,2422300,74.418022
"2021-04-19",78.849998,79.650002,77.459999,77.940002,2352600,73.708733
"2021-04-20",77.269997,77.489998,74.599998,75.419998,2283800,71.325531
"2021-04-21",74.620003,77.349998,74.330002,77.019997,2553200,72.838669
"2021-04-22",77.169998,77.169998,74.919998,74.949997,2625700,70.88105
"2021-04-23",75.309998,76.800003,74.980003,76.489998,1992800,72.337456
"2021-04-26",76.489998,77.410004,76.25,76.5,1582100,72.346909
"2021-04-27",76.690002,78.349998,76.400002,78.099998,1955100,73.860039
"2021-04-28",78.510002,80.550003,78.400002,80.099998,2670500,75.751457
"2021-04-29",81,82.279999,80.379997,81.120003,2814500,76.716095
"2021-04-30",80.050003,82.489998,79.900002,80.910004,3061400,76.517502
"2021-05-03",82.220001,84.209999,81.989998,83.940002,3078200,79.383003
"2021-05-04",84.459999,85.120003,82.230003,83.029999,2867600,78.522408
"2021-05-05",83.660004,85.080002,82.779999,84.989998,2899900,80.375999
"2021-05-06",85.260002,85.730003,84.110001,85.610001,1661100,80.962341
"2021-05-07",84.5,86.290001,84.260002,86.040001,1894900,81.368988
"2021-05-10",87.129997,87.949997,85.550003,85.589996,2567400,80.943413
"2021-05-11",84.150002,85.010002,82.650002,83.629997,2450700,79.089821
"2021-05-12",83.589996,87.580002,83.529999,85.339996,3060600,80.706993
"2021-05-13",84.150002,86.199997,83.239998,84.349998,2265300,79.770729
"2021-05-14",85.230003,87.800003,85.230003,87.699997,2818200,82.938858
"2021-05-17",87.489998,88.989998,86.75,88.699997,3022200,83.884583
"2021-05-18",88.699997,89.099998,86.589996,86.760002,2147700,82.049904
"2021-05-19",85.199997,86.739998,83.830002,85.730003,2669700,81.075829
"2021-05-20",85.739998,86.129997,83.959999,85.099998,3492300,80.480026
"2021-05-21",85.199997,86.050003,84.230003,84.290001,2675100,80.566048
"2021-05-24",85,85.68,84.220001,85.510002,1683300,81.732147
"2021-05-25",85.029999,85.32,83.139999,83.230003,2433200,79.552872
"2021-05-26",83.610001,83.93,83.050003,83.370003,2529100,79.686684
"2021-05-27",83.650002,84.5,83.510002,84.410004,2903500,80.68074
"2021-05-28",85,85.099998,83.639999,84.220001,1722900,80.499138
"2021-06-01",85.959999,87.309998,85.900002,86.849998,3599900,83.012939
"2021-06-02",87.199997,89.75,86.099998,89.620003,3142100,85.660576
"2021-06-03",89.239998,90.470001,88.389999,89.209999,2995900,85.268677
"2021-06-04",90,91.870003,89.519997,91.480003,3267400,87.438393
"2021-06-07",91.82,93.790001,91.620003,92.410004,3160000,88.327316
"2021-06-08",91.720001,93.769997,90.260002,92.559998,2778100,88.470673
"2021-06-09",93.519997,93.980003,92.440002,92.449997,3670900,88.365524
"2021-06-10",93.959999,94.339996,90.68,91.639999,2248500,87.591316
"2021-06-11",92.32,92.639999,90.910004,90.970001,2518300,86.95092
"2021-06-14",91.410004,92.059998,90.449997,91.440002,2030900,87.400154
"2021-06-15",92.07,93.389999,91.169998,92.099998,2450100,88.030998
"2021-06-16",91.57,91.959999,89.769997,90.739998,2188600,86.731087
"2021-06-17",90.510002,91.139999,86.010002,86.660004,3044100,82.831337
"2021-06-18",85.389999,86.370003,84.099998,84.169998,3990400,80.45134
"2021-06-21",85.209999,87.519997,84.949997,87.349998,2828400,83.490852
"2021-06-22",86.919998,88.489998,85.889999,87.970001,2689400,84.083458
"2021-06-23",88.610001,90.040001,88.18,88.260002,3452400,84.360649
"2021-06-24",88.82,89.989998,88.029999,89.690002,3097500,85.72747
"2021-06-25",89.800003,90.449997,88.550003,90.040001,8032600,86.062004
"2021-06-28",89.669998,89.669998,84.980003,85.419998,4141800,81.646118
"2021-06-29",86.160004,86.510002,84.690002,85.110001,3392700,81.349815
"2021-06-30",85.529999,85.949997,85.080002,85.82,3103500,82.028458
"2021-07-01",87.589996,87.849998,86.050003,87.089996,2358100,83.24234
"2021-07-02",86.779999,88.660004,86.349998,87.900002,2080300,84.016556
"2021-07-06",88,88,84.029999,84.449997,6464400,80.718971
"2021-07-07",83.410004,84.419998,81.120003,82.540001,5109200,78.893356
"2021-07-08",80.379997,82.169998,79.730003,80.790001,2484200,77.220673
"2021-07-09",81.599998,82.830002,80.720001,82.699997,2376600,79.046295
"2021-07-12",81.400002,83.18,81,82.400002,3251800,78.759544
"2021-07-13",81.809998,82.330002,81.080002,81.650002,3340600,78.042679
"2021-07-14",81.489998,82.370003,78.300003,78.540001,4263700,75.070091
"2021-07-15",77.599998,78.629997,76.809998,77.169998,3481000,73.760597
"2021-07-16",77.790001,77.970001,74.220001,74.480003,3305400,71.189461
"2021-07-19",72,72.809998,70.07,70.550003,5171600,67.43309
"2021-07-20",70.5,72.510002,69.730003,71.129997,4956500,67.98745
"2021-07-21",72.5,74.300003,72.379997,73.760002,4450100,70.501274
"2021-07-22",73.279999,73.449997,71.379997,72.309998,2807100,69.115326
"2021-07-23",72.290001,72.610001,71.410004,72.169998,2126000,68.981506
"2021-07-26",72.379997,74.389999,72.269997,74.32,2167800,71.036522
"2021-07-27",73.529999,74.68,72.800003,74.540001,1932500,71.246803
"2021-07-28",74.910004,75.910004,73.779999,75.220001,1958000,71.896767
"2021-07-29",76.169998,76.400002,74.660004,74.779999,1938400,71.476189
"2021-07-30",74.339996,74.900002,72.970001,73.43,3301000,70.185837
"2021-08-02",73.75,76.150002,73.25,73.480003,4061200,70.233635
"2021-08-03",73.5,76.099998,73.120003,76.07,3148500,72.709206
"2021-08-04",73.760002,73.870003,71.599998,71.639999,4259700,68.474922
"2021-08-05",72.580002,74.339996,72.120003,73.370003,2182900,70.128494
"2021-08-06",74.349998,74.669998,73.389999,73.959999,1807900,70.692421
"2021-08-09",72.809998,73.919998,72.57,73.010002,2220700,69.784393
"2021-08-10",73.25,74.5,73.110001,74.230003,2823800,70.9505
"2021-08-11",73.980003,74.540001,73.440002,74.410004,2021300,71.122543
"2021-08-12",74.25,74.620003,73.400002,74.440002,1790000,71.151222
"2021-08-13",74.639999,74.959999,73.790001,73.889999,2214700,70.625519
"2021-08-16",72.889999,72.980003,71.510002,71.849998,4751400,68.675644
"2021-08-17",70.339996,71.309998,69.440002,69.970001,3161400,67.727058
"2021-08-18",69.940002,70.739998,68.050003,68.150002,3895000,65.965408
"2021-08-19",66.839996,67.25,65.349998,66.269997,4008600,64.145668
"2021-08-20",65.199997,66.5,64.449997,65.949997,4518600,63.835926
"2021-08-23",67.629997,68.989998,67.550003,68.800003,3549900,66.594566
"2021-08-24",69.580002,71.220001,69.160004,70.93,3351900,68.656281
"2021-08-25",70.830002,72.650002,70.339996,72.18,2229500,69.866219
"2021-08-26",71,71.739998,70.459999,70.68,2518500,68.414307
"2021-08-27",71.300003,73.169998,71.239998,72.610001,2349900,70.28244
"2021-08-30",73.18,73.5,71.550003,71.57,1790300,69.27578
"2021-08-31",71.07,72.190002,70.68,71.089996,3333500,68.811157
"2021-09-01",71.459999,71.459999,68.910004,69.209999,3334500,66.991425
"2021-09-02",69.830002,71.160004,69.669998,69.919998,2336500,67.678665
"2021-09-03",69.900002,70.440002,69.050003,69.620003,1606200,67.388283
"2021-09-07",69.089996,70.400002,68.720001,68.739998,2108700,66.536491
"2021-09-08",69.18,69.629997,66.940002,66.989998,2498400,64.842583
"2021-09-09",66.480003,68.190002,66.050003,66.739998,3575700,64.600594
"2021-09-10",67.739998,67.75,66.150002,66.379997,2477500,64.252136
"2021-09-13",67.32,67.949997,66.709999,67.260002,3545100,65.103935
"2021-09-14",67.82,68.040001,64.949997,65.239998,3572200,63.148685
"2021-09-15",65.879997,66.919998,65.470001,66.029999,4584500,63.913361
"2021-09-16",66,66.449997,65.139999,65.760002,2427000,63.652016
"2021-09-17",65.75,66.620003,65.260002,66.019997,6201900,63.903675
