"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2021-07-13",151.149994,153.910004,150.75,152.960007,8750800,148.877518
"2021-07-14",152.889999,155.139999,152.800003,154.539993,6390300,150.415314
"2021-07-15",154.070007,155.360001,153.259995,155.25,4920600,151.106384
"2021-07-16",155.679993,156.839996,155.110001,155.820007,5852500,151.661194
"2021-07-19",155.990005,157.539993,154.759995,155.800003,5750200,151.641739
"2021-07-20",156.199997,157.330002,155.559998,155.820007,5213500,151.661194
"2021-07-21",155.300003,156.119995,154.570007,155.240005,4905900,151.096664
"2021-07-22",155.190002,155.759995,153.970001,155.190002,3333500,151.047989
"2021-07-23",155.559998,157.789993,155.240005,157.179993,3588400,152.984879
"2021-07-26",156.789993,157.470001,156.029999,157.070007,2999800,152.877823
"2021-07-27",157.309998,158.660004,157.029999,157.940002,4043900,153.724609
"2021-07-28",157.600006,157.960007,155.910004,156.490005,3556800,152.313293
"2021-07-29",157.229996,157.429993,156.199997,156.809998,3055600,152.624741
"2021-07-30",157.369995,157.600006,156.619995,156.949997,3757300,152.761017
"2021-08-02",157,157.110001,155.509995,156.320007,3425900,152.147827
"2021-08-03",157,157.149994,156.309998,156.669998,3359900,152.48848
"2021-08-04",156.190002,156.660004,153.869995,154.050003,4846300,149.938416
"2021-08-05",154.979996,155.190002,153.869995,154.309998,3733500,150.191483
"2021-08-06",153.770004,154.759995,153.639999,154.330002,3430900,150.210938
"2021-08-09",154.639999,154.789993,153.710007,154.350006,2636600,150.230423
"2021-08-10",154.309998,155.309998,153.809998,154.429993,2670200,150.308289
"2021-08-11",154.710007,156.020004,154.470001,155.039993,3058000,150.901993
"2021-08-12",155.229996,155.300003,154.600006,155.070007,1958700,150.931229
"2021-08-13",155.100006,156.669998,154.899994,156.520004,2113800,152.342514
"2021-08-16",156.929993,158.119995,156.729996,158.050003,3224000,153.831665
"2021-08-17",157.910004,158.449997,157.240005,157.899994,3736300,153.685669
"2021-08-18",157.679993,158.199997,156.199997,156.279999,3419200,152.108902
"2021-08-19",155.820007,159.419998,155.779999,158.910004,4745600,154.668716
"2021-08-20",158.929993,159.630005,158.25,158.350006,3484100,154.123672
"2021-08-23",157.830002,158.520004,157.320007,157.850006,3102100,153.637009
"2021-08-24",157.75,157.75,155.679993,155.889999,3760800,151.729294
"2021-08-25",155.360001,155.669998,154.160004,155.199997,3346700,151.057739
"2021-08-26",155.509995,155.669998,154.089996,154.630005,3220700,150.502945
"2021-08-27",154.839996,155.410004,154.210007,154.940002,4166500,150.804672
"2021-08-30",155.179993,156.169998,155.009995,156,2540300,151.836365
"2021-08-31",156.089996,156.470001,155.339996,156.389999,5291200,152.215973
"2021-09-01",156.839996,158.190002,156.509995,157.910004,4231400,153.695404
"2021-09-02",156.789993,157.289993,155.869995,156.949997,2862500,153.80809
"2021-09-03",156.199997,157.419998,155.899994,157.089996,2035100,153.945297
"2021-09-07",156.479996,156.759995,153.679993,154.529999,4609900,151.436554
"2021-09-08",154.660004,156.75,154.300003,156.720001,3199100,153.582718
"2021-09-09",156.880005,156.970001,155.399994,155.729996,3560400,152.612518
"2021-09-10",155.979996,156.25,155.009995,155.460007,3851500,152.347946
"2021-09-13",155.940002,157.399994,155.389999,155.759995,3367200,152.641922
"2021-09-14",156.380005,156.669998,154.820007,155.149994,2808600,152.044128
"2021-09-15",155.220001,156.380005,154.779999,156.020004,3702400,152.896729
"2021-09-16",155.389999,156.119995,153.809998,155.559998,4589900,152.445938
"2021-09-17",155.229996,155.5,153.830002,154.130005,8127400,151.044556
"2021-09-20",153.899994,154.949997,152.419998,153.610001,5484600,150.534973
"2021-09-21",154.610001,156.119995,152.970001,153.539993,4479800,150.466354
"2021-09-22",154.619995,155.089996,153.449997,154.009995,3001000,150.926941
"2021-09-23",153.690002,154.929993,153.539993,154.130005,2712500,151.044556
"2021-09-24",153.75,154.619995,153.550003,154.199997,2366100,151.113144
"2021-09-27",153.800003,154.149994,152.389999,152.720001,4482000,149.662781
"2021-09-28",152.369995,152.5,150.100006,151.050003,5910900,148.026199
"2021-09-29",151.339996,153.169998,150.690002,152.300003,3326500,149.25119
"2021-09-30",153.220001,153.429993,150.369995,150.410004,4949200,147.399017
"2021-10-01",151.350006,151.610001,149.520004,150.949997,4274300,147.928207
"2021-10-04",150.880005,153,149.479996,150.199997,5404900,147.193222
"2021-10-05",151.360001,152.389999,150.070007,151.089996,6103100,148.065414
"2021-10-06",150.839996,155.160004,149.960007,154.960007,5499200,151.857956
"2021-10-07",155.520004,157.75,155.520004,156.389999,4605100,153.259308
"2021-10-08",156.570007,156.710007,155.490005,156.029999,4186000,152.906509
"2021-10-11",156.389999,157.229996,155.660004,156.240005,2738100,153.112305
"2021-10-12",156.220001,157.850006,156.210007,156.929993,3195400,153.788498
"2021-10-13",157.460007,158.050003,156.020004,157.990005,3599900,154.827286
"2021-10-14",158.619995,159.490005,158.610001,159.259995,3677100,156.071854
"2021-10-15",159.660004,159.660004,157.509995,158.809998,4313000,155.630859
"2021-10-18",158.199997,158.699997,156.800003,158.089996,3274200,154.925278
"2021-10-19",158.639999,160.160004,157.539993,160.100006,3125800,156.895065
"2021-10-20",160.580002,161.880005,159.679993,161.309998,3716500,158.080811
"2021-10-21",161.389999,161.429993,158.979996,159.179993,4164700,155.993469
"2021-10-22",159.580002,160.470001,159.470001,159.970001,3240300,156.767639
"2021-10-25",159.949997,159.949997,158.789993,159.220001,3281200,156.032654
"2021-10-26",159.169998,161.399994,159.100006,161.169998,3684700,157.943619
"2021-10-27",161.75,161.839996,159.559998,160.610001,3751800,157.394836
"2021-10-28",160.850006,161.729996,160.470001,161.619995,3589600,158.384613
"2021-10-29",161.029999,162.259995,160.910004,161.600006,4558200,158.365021
"2021-11-01",161.199997,161.5,160.179993,161.259995,3017100,158.03183
"2021-11-02",161.550003,162.809998,160.940002,162.740005,3464500,159.482208
"2021-11-03",162.149994,164.389999,162.149994,164.300003,3595000,161.010971
"2021-11-04",164.220001,164.559998,163.350006,164.309998,3310100,161.020767
"2021-11-05",165.550003,166.429993,164.520004,166,3754300,162.676926
"2021-11-08",165.809998,166.100006,161.149994,162.429993,5766400,159.178391
"2021-11-09",162.309998,163.860001,162,163.509995,3778600,160.236771
"2021-11-10",164.740005,165,163.029999,164.039993,2683500,160.756165
