"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2021-08-19",298.720001,303.570007,297.940002,302.640015,707500,300.743744
"2021-08-20",303.559998,308.559998,303.179993,307.059998,860200,305.136047
"2021-08-23",307.459991,309.980011,304.579987,304.720001,686800,302.81073
"2021-08-24",305.029999,305.040009,302.600006,303.109985,555900,301.210785
"2021-08-25",300.959991,303.600006,299.570007,302.730011,920900,300.833191
"2021-08-26",303.390015,303.390015,299.399994,302.269989,673000,300.376038
"2021-08-27",303.450012,304.859985,302.519989,302.869995,682200,300.972321
"2021-08-30",304.579987,307.5,303.859985,305.309998,615100,303.397003
"2021-08-31",305,305.309998,302.609985,303.670013,963100,301.767303
"2021-09-01",302.619995,306.769989,302.019989,305.910004,681900,303.993286
"2021-09-02",306.640015,308.790009,305.559998,308.700012,824600,306.765808
"2021-09-03",307.01001,310.429993,305.769989,307.429993,786800,305.503723
"2021-09-07",302.350006,305.059998,300.100006,302.839996,938600,300.942505
"2021-09-08",298.679993,299.380005,294.100006,296.690002,1688300,294.831024
"2021-09-09",294.190002,299.320007,293.350006,297.299988,1708800,295.437195
"2021-09-10",297.26001,304.079987,296.01001,300.640015,1200200,298.756287
"2021-09-13",303.570007,304.850006,300.700012,302.070007,1190200,300.177307
"2021-09-14",302.059998,302.51001,297.869995,298.859985,1067200,296.987427
"2021-09-15",300.440002,300.619995,296.76001,299.410004,606500,297.533966
"2021-09-16",298.910004,299.25,296.329987,298.019989,643400,296.152679
"2021-09-17",296.410004,297.040009,293.019989,293.73999,1862100,291.899506
"2021-09-20",289.019989,293.339996,288.140015,291.769989,1101600,289.941833
"2021-09-21",293.480011,293.75,289.660004,290.359985,802700,288.54068
"2021-09-22",291.859985,294.299988,290.480011,291.98999,812600,290.160492
"2021-09-23",293.339996,295.630005,292.329987,294.25,854100,292.406311
"2021-09-24",292.970001,293.839996,291.070007,291.799988,746700,289.971649
"2021-09-27",289.970001,291.359985,287.450012,287.609985,783700,285.807922
"2021-09-28",285.730011,286.459991,278.700012,279.619995,1619700,277.867981
"2021-09-29",273.459991,285.459991,272.01001,282.26001,2580900,280.491425
"2021-09-30",283.299988,284.200012,278.769989,279.730011,1670800,277.977325
"2021-10-01",280.779999,289.700012,280.23999,285.040009,1797800,283.254028
"2021-10-04",284.980011,289,283.709991,285.290009,1483500,283.502441
"2021-10-05",286.130005,292.890015,285.040009,291.339996,1571300,289.514557
"2021-10-06",289.720001,294.01001,287.959991,293.859985,1409100,292.018738
"2021-10-07",296.309998,299.790009,292.980011,293.75,1426300,291.909454
"2021-10-08",293.75,294.859985,288.040009,289.98999,1171400,288.173004
"2021-10-11",289,292.480011,288.269989,288.290009,855200,286.483673
"2021-10-12",289.200012,293.329987,288.279999,291.859985,1237700,290.031281
"2021-10-13",293.5,293.5,286.589996,289.940002,838100,288.123322
"2021-10-14",288.75,292.359985,285.029999,292.220001,1079300,290.389038
"2021-10-15",294.040009,297.23999,291.899994,296.390015,1058700,294.532928
"2021-10-18",294.809998,297.390015,294.26001,297.350006,757200,295.486908
"2021-10-19",298.859985,298.859985,296.029999,298.279999,656900,296.411041
"2021-10-20",299.320007,301.929993,297.350006,301.880005,847100,299.988525
