"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2021-04-27",344,347.549988,343.660004,346.630005,2088600,337.914459
"2021-04-28",348,350.119995,346.089996,348.109985,2140900,339.357269
"2021-04-29",350.549988,353.829987,347.480011,352.970001,2584400,344.095062
"2021-04-30",351.119995,352.820007,347.200012,348.450012,2101100,339.688751
"2021-05-03",350.339996,354.059998,349.26001,350.160004,1871700,341.355743
"2021-05-04",348.899994,351.779999,342.570007,349.839996,2831400,341.043793
"2021-05-05",352,359.140015,348.549988,357.619995,2786800,348.628174
"2021-05-06",359.769989,366.299988,356.5,365.970001,3048700,356.76825
"2021-05-07",362.299988,371.649994,360.929993,370.890015,3378100,361.564514
"2021-05-10",373.5,376.980011,368.5,368.679993,3396300,359.410095
"2021-05-11",363,368.630005,358.619995,359.920013,3734300,350.870392
"2021-05-12",363.070007,368.130005,353.269989,354.399994,3309800,345.489105
"2021-05-13",353.25,360.890015,353.25,358.809998,2673900,349.788239
"2021-05-14",362,369.51001,361.700012,368.769989,2732300,359.497803
"2021-05-17",367.779999,370.700012,364.5,369.25,1826100,359.96579
"2021-05-18",371.380005,373.079987,364,364.559998,2018600,355.393677
"2021-05-19",360,360,353.929993,358.380005,3696000,349.36908
"2021-05-20",358.980011,361.950012,353.350006,359.779999,1919600,350.733856
"2021-05-21",361.48999,367.140015,360.51001,366.26001,2657500,357.050964
"2021-05-24",367.320007,369.720001,365.51001,368.290009,1834300,359.029877
"2021-05-25",369.910004,373.769989,364.089996,364.51001,2631000,355.34491
"2021-05-26",365,368.790009,361.910004,367.399994,2121200,358.162262
"2021-05-27",371.329987,373.549988,367.299988,371.369995,3897000,362.03244
"2021-05-28",372,373.070007,368.26001,372.019989,2169700,363.89093
"2021-06-01",377.700012,383.359985,376.309998,382.440002,3644000,374.083252
"2021-06-02",383.329987,384.670013,379.369995,383.440002,2809700,375.061432
"2021-06-03",382.25,391.25,380.130005,388.720001,3003900,380.225983
"2021-06-04",389.679993,392.049988,386.320007,391.450012,2514100,382.896423
"2021-06-07",393,393.26001,387.549988,388.160004,2188700,379.678284
"2021-06-08",385.790009,386.480011,382.220001,384.700012,2452600,376.293854
"2021-06-09",383.160004,384.269989,378.880005,382.779999,2025900,374.415833
"2021-06-10",389.640015,389.640015,372.350006,373.940002,3900800,365.768982
"2021-06-11",375.700012,378.75,375.109985,378.049988,2117300,369.789154
"2021-06-14",377.429993,378.75,370.700012,372.920013,2560500,364.771301
"2021-06-15",373.5,374.839996,367.160004,371.299988,2302900,363.186646
"2021-06-16",370.98999,374.079987,365.25,371,3264200,362.893219
"2021-06-17",373.519989,373.519989,356.549988,361.5,4146300,353.6008
"2021-06-18",356.519989,358.380005,348.130005,348.829987,6290100,341.207642
"2021-06-21",352.890015,357.970001,351.040009,357.540009,2717300,349.727325
"2021-06-22",357,359.880005,352.640015,357.529999,1870800,349.717529
"2021-06-23",358.790009,362.480011,357.660004,361.049988,1713100,353.160645
"2021-06-24",363,370.880005,362.779999,368.75,2716600,360.692352
"2021-06-25",368.820007,371.149994,364.540009,368.769989,2782400,360.711945
"2021-06-28",367.799988,368.869995,363.859985,368.709991,1833400,360.653259
"2021-06-29",374.859985,378.089996,370.75,372.619995,2365900,364.477814
"2021-06-30",370.899994,380.109985,370.899994,379.529999,2238400,371.236847
"2021-07-01",380.700012,381.640015,374.149994,374.98999,2571000,366.796051
"2021-07-02",376.309998,376.600006,372.420013,374.160004,1598900,365.984161
"2021-07-06",373.230011,373.630005,365.410004,369.859985,2162900,361.778137
"2021-07-07",367.5,370.089996,362.179993,367.670013,2012800,359.636017
"2021-07-08",359.690002,362.890015,355.589996,358.940002,2940500,351.096741
"2021-07-09",366,372.149994,364.950012,371.76001,2641800,363.636627
"2021-07-12",370.309998,384,367.329987,380.5,4135900,372.185638
"2021-07-13",381.059998,385.329987,372.01001,375.980011,6466800,367.764404
"2021-07-14",378.75,381.769989,371.390015,374.399994,3295700,366.218933
"2021-07-15",371.23999,378.75,370.570007,373.350006,2183900,365.191895
"2021-07-16",374.929993,374.929993,363.829987,364.799988,2583300,356.828674
"2021-07-19",354,355.190002,349,354.720001,4394600,346.968964
"2021-07-20",352.269989,367.309998,351.540009,364.76001,2937900,356.789581
"2021-07-21",368.040009,374.899994,367.929993,373.5,2398800,365.338593
"2021-07-22",372.299988,373.690002,368.450012,372.709991,1887100,364.565826
"2021-07-23",374.589996,378,371.380005,374.049988,1706900,365.876556
"2021-07-26",373.179993,376.679993,373.109985,375.899994,1559100,367.686127
"2021-07-27",372.5,375.140015,369.220001,374.839996,1791800,366.649323
"2021-07-28",375.809998,377.440002,372.339996,374.230011,1668900,366.052673
"2021-07-29",377.029999,379.51001,374.809998,377.549988,1296600,369.30011
"2021-07-30",376.570007,379.950012,373.059998,374.880005,1474900,366.688446
"2021-08-02",376.170013,386.929993,375.75,378.190002,2383200,369.926147
"2021-08-03",380.25,381.309998,371.769989,380.359985,1494600,372.048706
"2021-08-04",378.480011,382.649994,375.76001,377.859985,1460500,369.603302
"2021-08-05",380.149994,384.309998,379.950012,384.299988,1583800,375.902557
"2021-08-06",388.880005,398.859985,388.640015,397.890015,3655800,389.195648
"2021-08-09",396.589996,404.600006,393.579987,399.880005,3319100,391.142181
"2021-08-10",400.119995,410.630005,399.5,407.970001,3152300,399.055389
"2021-08-11",408.799988,414.679993,407.059998,413.890015,3000500,404.846069
"2021-08-12",414.380005,418.619995,410.559998,415,2312800,405.931763
"2021-08-13",416,416.890015,408.179993,410.779999,1980000,401.803986
"2021-08-16",408.98999,408.98999,402.149994,408.350006,1590700,399.427124
"2021-08-17",403.839996,408.350006,400.200012,404.970001,2077400,396.120941
"2021-08-18",402.600006,406.109985,398.589996,398.799988,2187800,390.085754
"2021-08-19",394.600006,397.730011,390.910004,393.570007,2241500,384.970062
"2021-08-20",391.48999,396.450012,391,395.869995,1612100,387.219757
"2021-08-23",401.890015,404.100006,399,401.450012,1857600,392.677887
"2021-08-24",403.589996,409.660004,402.700012,408.559998,1958400,399.632477
