"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2021-06-17",219.75,219.75,216.389999,217.770004,145800,215.820786
"2021-06-18",214.779999,217.100006,212.520004,215.259995,417700,213.333237
"2021-06-21",217.309998,220.679993,216.339996,219.559998,151200,217.594757
"2021-06-22",219.289993,220.119995,218.029999,219.020004,126200,217.059601
"2021-06-23",218.899994,220.399994,217.559998,217.899994,150900,215.949615
"2021-06-24",218.850006,220.160004,217.470001,218.100006,333600,216.147827
"2021-06-25",218.990005,223.119995,218.190002,220.669998,1381500,218.694824
"2021-06-28",221.630005,222.339996,218.009995,218.690002,243600,216.732529
"2021-06-29",219.389999,221.529999,218.740005,219.600006,197100,217.634399
"2021-06-30",219.600006,220.470001,218.740005,219.509995,205400,217.545197
"2021-07-01",219.889999,221.649994,218.139999,218.410004,215900,216.455048
"2021-07-02",218.690002,220.679993,217.589996,220.199997,120700,218.229019
"2021-07-06",221.419998,221.419998,217.539993,218.130005,226400,216.177551
"2021-07-07",217.619995,221.5,215.490005,221.070007,297000,219.091248
"2021-07-08",217.830002,219.320007,215.220001,216.380005,319600,214.443222
"2021-07-09",218.350006,221.490005,217.380005,221.300003,189300,219.319183
"2021-07-12",220.509995,222.029999,219.399994,221.289993,160800,219.309265
"2021-07-13",220.580002,221.880005,219.800003,219.990005,134900,218.02092
"2021-07-14",220.429993,222.949997,219.960007,220.809998,162300,218.833557
"2021-07-15",219.990005,223.369995,219.990005,222.25,128700,220.260681
"2021-07-16",223.149994,224.160004,221.710007,221.869995,175800,219.884079
"2021-07-19",219.330002,219.979996,216.809998,218.5,135200,216.544235
"2021-07-20",219.259995,225.440002,219.259995,223.919998,229300,221.915741
"2021-07-21",224.990005,226.759995,223.690002,224.520004,113400,222.510361
"2021-07-22",224.320007,224.970001,221.929993,222.679993,106500,220.686829
"2021-07-23",223.850006,225,222.229996,224.990005,75100,222.976166
"2021-07-26",224.990005,225,222.520004,224.300003,145100,222.292328
"2021-07-27",224.300003,224.300003,221,221.399994,118000,219.418274
"2021-07-28",221.779999,223.919998,220.399994,222.699997,94100,220.70665
"2021-07-29",223.899994,227,223.169998,225.039993,106300,223.025711
"2021-07-30",223.979996,226.850006,223.979996,226.130005,213600,224.105942
"2021-08-02",227.050003,229.800003,226.479996,227.039993,128500,225.007797
"2021-08-03",227.600006,229.279999,226.75,228.160004,137200,226.117798
"2021-08-04",227.899994,228.699997,226.320007,226.509995,106500,224.482544
"2021-08-05",226.779999,227.5,224.600006,225.5,136700,223.481583
"2021-08-06",225.820007,227.350006,224.300003,224.919998,84900,222.906784
"2021-08-09",224.179993,224.179993,220.740005,222.149994,129800,220.16156
"2021-08-10",223.080002,224.380005,221,221.630005,159200,219.646225
"2021-08-11",223.210007,224.580002,222.149994,223.369995,112900,221.370636
"2021-08-12",223.839996,227.429993,222.070007,226.559998,148200,224.532089
"2021-08-13",226.949997,229.119995,225.699997,228.589996,159500,226.54393
"2021-08-16",227.940002,229.809998,225.789993,229.550003,95500,227.495346
"2021-08-17",227.839996,229.160004,226.130005,228.880005,101600,226.831345
"2021-08-18",228.149994,229.699997,226.649994,227.070007,82900,225.037552
"2021-08-19",225.949997,228.5,225.770004,226.139999,112100,224.11586
"2021-08-20",226.639999,230.580002,225.630005,230.259995,125900,228.198975
"2021-08-23",231.070007,232.660004,230.070007,231.020004,139900,229.460419
"2021-08-24",230.889999,234.470001,230.889999,233.360001,138800,231.784622
"2021-08-25",234.199997,235.039993,232.289993,233.529999,163600,231.953461
"2021-08-26",233.009995,234.990005,231.649994,232.5,131100,230.93042
"2021-08-27",233.479996,235.779999,232.639999,233.539993,159300,231.963394
"2021-08-30",233.270004,239.320007,233.050003,238.820007,335700,237.207764
"2021-08-31",241.949997,243.850006,236.600006,238.600006,413300,236.989243
"2021-09-01",239.669998,242.529999,235.600006,240.940002,265700,239.313446
"2021-09-02",241.610001,245.610001,240.809998,242.589996,285100,240.952301
"2021-09-03",241.869995,244.630005,240.649994,241.449997,209500,239.819992
"2021-09-07",241.669998,245.020004,239.460007,243.270004,257300,241.627716
"2021-09-08",243.25,245.429993,242.880005,244.929993,214700,243.276505
"2021-09-09",244.880005,245.910004,241.570007,243.110001,174800,241.468781
"2021-09-10",244.160004,245.399994,240.800003,241.089996,146200,239.462433
"2021-09-13",242.889999,243.979996,239.119995,240.089996,148700,238.469177
"2021-09-14",240.779999,243.210007,239.410004,242.050003,213000,240.415955
"2021-09-15",242.119995,244.929993,241.449997,243.679993,189100,242.034943
"2021-09-16",244.320007,244.759995,241.889999,243.380005,144300,241.736984
"2021-09-17",242.839996,243.210007,239.339996,241.839996,511400,240.207367
"2021-09-20",238.639999,241.960007,237.800003,240.729996,155300,239.104858
"2021-09-21",241.360001,241.360001,238.300003,240.720001,181400,239.094925
"2021-09-22",242.419998,243.419998,241.460007,241.570007,142100,239.939194
"2021-09-23",242.039993,245.220001,242.039993,244.529999,115300,242.879211
"2021-09-24",244.059998,245.190002,243.330002,243.889999,99900,242.24353
"2021-09-27",243.720001,245.710007,243.100006,244.809998,153800,243.157318
"2021-09-28",244.080002,245.449997,240.699997,241.940002,132700,240.306686
"2021-09-29",242.770004,244.210007,241.809998,242.910004,140400,241.270157
"2021-09-30",244.059998,244.889999,237.979996,238.149994,213100,236.542267
"2021-10-01",239.110001,241.639999,235.270004,239.5,140700,237.883179
"2021-10-04",240.5,243.410004,239.279999,240.589996,230200,238.965805
"2021-10-05",240.770004,242.990005,239.339996,241.399994,214700,239.770325
"2021-10-06",239.050003,239.990005,234.089996,238.520004,135300,236.90979
"2021-10-07",240.270004,242.830002,239.589996,241.050003,156500,239.422699
"2021-10-08",241.020004,241.029999,236.110001,237.979996,198700,236.373413
"2021-10-11",237.330002,240.410004,237.330002,237.929993,232400,236.323761
"2021-10-12",238.75,239.529999,236.619995,236.960007,92000,235.360321
